Canada, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1930-1939       22            968897.01       985382.77      1954279.77
1930-1939       23            943560.22       964005.14      1907565.36
1930-1939       24            914988.28       941441.77      1856430.05
1930-1939       25            886696.49       918930.99      1805627.47
1930-1939       26            858498.89       896573.70      1755072.59
1930-1939       27            830642.40       874215.37      1704857.76
1930-1939       28            803769.92       851998.87      1655768.79
1930-1939       29            778180.99       830353.14      1608534.12
1930-1939       30            753009.76       809281.50      1562291.26
1930-1939       31            727820.50       788507.93      1516328.43
1930-1939       32            707832.44       771031.92      1478864.36
1930-1939       33            695390.36       758247.91      1453638.26
1930-1939       34            688087.47       748832.72      1436920.19
1930-1939       35            680896.02       739833.39      1420729.42
1930-1939       36            674521.46       731605.74      1406127.19
1930-1939       37            668211.68       724335.40      1392547.08
1930-1939       38            661003.77       717735.35      1378739.12
1930-1939       39            653088.32       711652.00      1364740.32
1930-1939       40            645806.82       705946.34      1351753.16
1930-1939       41            639143.76       700380.91      1339524.66
1930-1939       42            630175.45       694836.09      1325011.55
1930-1939       43            617683.97       689177.80      1306861.76
1930-1939       44            602828.70       683109.35      1285938.05
1930-1939       45            587810.37       676369.67      1264180.04
1930-1939       46            571983.06       668910.02      1240893.09
1930-1939       47            556942.84       659805.26      1216748.10
1930-1939       48            543626.76       648553.89      1192180.65
1930-1939       49            531114.86       635314.30      1166429.16
1930-1939       50            517810.35       621237.91      1139048.26
1930-1939       51            504379.47       606624.23      1111003.71
1930-1939       52            488766.75       588513.84      1077280.59
1930-1939       53            469905.86       565730.75      1035636.61
1930-1939       54            448961.44       539796.09       988757.52
1930-1939       55            428355.70       513677.09       942032.79
1930-1939       56            407795.82       487085.96       894881.78
1930-1939       57            387630.01       460862.85       848492.86
1930-1939       58            368347.35       435817.23       804164.58
1930-1939       59            349912.28       411845.42       761757.70
1930-1939       60            331513.93       387705.64       719219.58
1930-1939       61            313044.41       363311.41       676355.81
1930-1939       62            296906.86       341778.69       638685.54
1930-1939       63            284143.83       324410.03       608553.87
1930-1939       64            273631.29       309868.61       583499.90
1930-1939       65            263172.07       295476.90       558648.97
1930-1939       66            253189.75       281766.76       534956.50
1930-1939       67            242664.17       267641.28       510305.45
1930-1939       68            230839.95       252300.67       483140.62
1930-1939       69            218209.98       236257.03       454467.01
1930-1939       70            206010.37       220930.27       426940.63
1930-1939       71            194191.49       206153.14       400344.63
1930-1939       72            181722.48       191136.08       372858.56
1930-1939       73            168335.34       175680.00       344015.34
1930-1939       74            154417.97       160058.74       314476.71
1930-1939       75            140782.86       144893.25       285676.11
1930-1939       76            127439.29       130229.93       257669.22
1930-1939       77            114313.54       115860.19       230173.73
1930-1939       78            101496.88       101784.60       203281.48
1930-1939       79             89129.63        88209.43       177339.05
1930-1939       80             84966.81        78499.22       163466.03
1930-1939       81             73971.22        67374.66       141345.88
1930-1939       82             64037.70        57211.47       121249.17
1930-1939       83             54438.22        47509.84       101948.06
1930-1939       84             45634.57        38776.65        84411.22
1930-1939       85             37719.69        31164.82        68884.51
1930-1939       86             30801.42        24691.81        55493.23
1930-1939       87             24734.94        19223.57        43958.50
1930-1939       88             19520.87        14768.68        34289.55
1930-1939       89             15310.87        11181.41        26492.28
1930-1939       90             11779.80         8302.42        20082.22
1930-1939       91              8909.66         6173.45        15083.11
1930-1939       92              6742.72         4592.69        11335.41
1930-1939       93              4989.06         3332.98         8322.04
1930-1939       94              3626.46         2383.92         6010.37
1930-1939       95              2565.36         1685.90         4251.26
1930-1939       96              1774.51         1177.64         2952.15
1930-1939       97              1210.36          798.56         2008.92
1930-1939       98               807.24          520.08         1327.32
1930-1939       99               539.19          346.74          885.93
1930-1939      100               356.25          228.92          585.17
1930-1939      101               222.91          142.46          365.37
1930-1939      102               135.05           86.23          221.28
1930-1939      103                78.92           49.36          128.28
1930-1939      104                44.00           26.13           70.13
1930-1939      105                22.46           11.53           33.98
1930-1939      106                 9.25            2.76           12.01
1930-1939      107                 1.91            0.21            2.12
1930-1939      108                 0.09            0.00            0.09
1930-1939      109                 0.00            0.00            0.00
1930-1939      110+                0.00            0.00            0.00
1940-1949        0           1328195.69      1398047.95      2726243.64
