Latvia, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969        0            161319.83       170005.93       331325.76
1960-1969        1            162740.72       170991.81       333732.53
1960-1969        2            164088.83       172363.26       336452.09
1960-1969        3            165224.87       173378.37       338603.24
1960-1969        4            166827.68       174476.87       341304.55
1960-1969        5            167708.71       175013.71       342722.42
1960-1969        6            167392.82       174727.11       342119.93
1960-1969        7            165696.69       172995.55       338692.25
1960-1969        8            164175.69       171381.17       335556.86
1960-1969        9            162234.39       169699.52       331933.90
1960-1969       10            160359.48       168155.19       328514.67
1960-1969       11            159005.69       167029.90       326035.59
1960-1969       12            157768.14       165976.67       323744.81
1960-1969       13            156152.41       164737.58       320889.99
1960-1969       14            154075.50       163278.45       317353.95
1960-1969       15            152483.29       162024.43       314507.71
1960-1969       16            152668.07       162218.33       314886.39
1960-1969       17            154233.36       163296.66       317530.02
1960-1969       18            156790.00       164512.69       321302.69
1960-1969       19            159993.16       165487.03       325480.19
1960-1969       20            162437.65       165700.15       328137.80
1960-1969       21            165097.18       166472.86       331570.04
1960-1969       22            168713.73       168383.78       337097.51
1960-1969       23            173057.93       171078.91       344136.84
1960-1969       24            177874.98       174446.23       352321.21
1960-1969       25            181701.39       177087.79       358789.17
1960-1969       26            184463.75       178643.30       363107.04
1960-1969       27            186886.68       180138.20       367024.88
1960-1969       28            187840.89       180336.90       368177.79
1960-1969       29            188442.22       180133.40       368575.62
1960-1969       30            188457.02       179342.88       367799.90
1960-1969       31            188623.55       177604.14       366227.68
1960-1969       32            189194.24       175612.79       364807.03
1960-1969       33            190057.13       172272.97       362330.10
1960-1969       34            192279.01       168037.30       360316.31
1960-1969       35            194516.51       163610.62       358127.13
1960-1969       36            196851.94       159177.22       356029.16
1960-1969       37            197630.77       153417.76       351048.53
1960-1969       38            195748.24       146235.54       341983.77
1960-1969       39            191764.73       138481.80       330246.53
1960-1969       40            185767.53       129915.09       315682.61
1960-1969       41            178674.18       121181.89       299856.07
1960-1969       42            169746.45       111630.78       281377.23
1960-1969       43            159871.37       103420.20       263291.57
1960-1969       44            151582.25        98759.07       250341.32
1960-1969       45            145635.83        96231.59       241867.41
1960-1969       46            141543.39        95320.13       236863.52
1960-1969       47            138643.44        95309.80       233953.23
1960-1969       48            137719.75        95703.94       233423.69
1960-1969       49            139123.32        96954.09       236077.40
1960-1969       50            141820.94        98933.40       240754.34
1960-1969       51            144842.04       100889.03       245731.07
1960-1969       52            148930.57       103942.64       252873.21
