Germany, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009       12           4176011.38      4390872.59      8566883.97
2000-2009       13           4232533.30      4449525.06      8682058.36
2000-2009       14           4291912.91      4508862.78      8800775.69
2000-2009       15           4350950.97      4568899.66      8919850.63
2000-2009       16           4401682.64      4623009.98      9024692.61
2000-2009       17           4453352.38      4676588.05      9129940.43
2000-2009       18           4513048.90      4728603.43      9241652.33
2000-2009       19           4572604.41      4760972.30      9333576.70
2000-2009       20           4617125.76      4773822.81      9390948.58
2000-2009       21           4636128.64      4766253.00      9402381.64
2000-2009       22           4650757.11      4760278.22      9411035.33
2000-2009       23           4660481.86      4758105.09      9418586.94
2000-2009       24           4665804.31      4758830.66      9424634.98
2000-2009       25           4663362.96      4755147.26      9418510.22
2000-2009       26           4659898.95      4751597.58      9411496.53
2000-2009       27           4660788.37      4752146.19      9412934.56
2000-2009       28           4712795.05      4809761.31      9522556.36
2000-2009       29           4793644.52      4901347.25      9694991.77
2000-2009       30           4910485.31      5032006.13      9942491.44
2000-2009       31           5084704.75      5223496.12     10308200.87
2000-2009       32           5284609.11      5439044.57     10723653.68
2000-2009       33           5508710.83      5679546.27     11188257.10
2000-2009       34           5752310.53      5944675.48     11696986.00
2000-2009       35           6003440.17      6219036.87     12222477.04
2000-2009       36           6253240.70      6491792.47     12745033.17
2000-2009       37           6474666.53      6729449.52     13204116.05
2000-2009       38           6623148.88      6885733.35     13508882.23
2000-2009       39           6724767.60      6990484.78     13715252.38
2000-2009       40           6782054.63      7046007.79     13828062.42
2000-2009       41           6774814.02      7032316.82     13807130.84
2000-2009       42           6715288.94      6963650.81     13678939.75
2000-2009       43           6626076.88      6862042.74     13488119.62
2000-2009       44           6512117.57      6727997.93     13240115.50
2000-2009       45           6380916.19      6569209.30     12950125.49
2000-2009       46           6232470.71      6387018.94     12619489.65
2000-2009       47           6089219.81      6209672.97     12298892.78
2000-2009       48           5958165.85      6048752.92     12006918.77
2000-2009       49           5835703.37      5899093.71     11734797.07
2000-2009       50           5726631.31      5765120.73     11491752.04
2000-2009       51           5610474.28      5628015.98     11238490.26
2000-2009       52           5474033.64      5470466.20     10944499.84
2000-2009       53           5332213.69      5308073.65     10640287.35
2000-2009       54           5120532.68      5076545.40     10197078.08
2000-2009       55           4970837.04      4911788.88      9882625.92
2000-2009       56           4895103.97      4829386.92      9724490.89
2000-2009       57           4820698.57      4751209.49      9571908.06
2000-2009       58           4796218.78      4719132.96      9515351.74
2000-2009       59           4848772.89      4756478.34      9605251.23
2000-2009       60           4918096.52      4800141.83      9718238.35
2000-2009       61           4990451.52      4837071.29      9827522.81
2000-2009       62           5069082.94      4874123.16      9943206.10
2000-2009       63           5141194.39      4897115.68     10038310.07
2000-2009       64           5276677.49      4976355.64     10253033.13
2000-2009       65           5334145.16      4975162.33     10309307.49
2000-2009       66           5264440.83      4847568.50     10112009.33
2000-2009       67           5150189.15      4673804.29      9823993.44
2000-2009       68           4995040.48      4458962.16      9454002.65
2000-2009       69           4788613.51      4196030.87      8984644.38
2000-2009       70           4575562.00      3925991.71      8501553.71
2000-2009       71           4377467.01      3668583.68      8046050.69
2000-2009       72           4204696.33      3422628.67      7627325.00
2000-2009       73           4044419.01      3170109.18      7214528.19
2000-2009       74           3902579.68      2916120.01      6818699.68
2000-2009       75           3772149.34      2661441.55      6433590.89
2000-2009       76           3678741.32      2438020.35      6116761.67
2000-2009       77           3616159.97      2250821.84      5866981.81
2000-2009       78           3548703.96      2067605.35      5616309.30
2000-2009       79           3454775.98      1876660.86      5331436.84
2000-2009       80           3281225.27      1657043.78      4938269.05
2000-2009       81           3016145.30      1420236.65      4436381.95
2000-2009       82           2706154.32      1188828.62      3894982.95
2000-2009       83           2405717.80       990155.19      3395872.99
2000-2009       84           2136657.89       825575.42      2962233.31
2000-2009       85           1918260.27       699735.54      2617995.81
2000-2009       86           1724345.79       597033.09      2321378.88
2000-2009       87           1522713.42       499826.14      2022539.56
2000-2009       88           1308074.94       406265.55      1714340.50
2000-2009       89           1096262.18       321460.95      1417723.13
2000-2009       90            915532.79       253377.15      1168909.93
2000-2009       91            773250.79       201404.62       974655.41
2000-2009       92            647414.13       158752.40       806166.52
2000-2009       93            525374.09       121467.37       646841.46
2000-2009       94            407384.40        89031.17       496415.57
2000-2009       95            297743.30        61247.08       358990.37
2000-2009       96            207130.64        39810.21       246940.85
2000-2009       97            139123.67        25028.47       164152.14
2000-2009       98             90300.04        15122.19       105422.23
2000-2009       99             56550.39         8825.92        65376.31
2000-2009      100             34062.60         4867.17        38929.77
2000-2009      101             19632.67         2602.89        22235.56
2000-2009      102             10993.82         1342.45        12336.27
2000-2009      103              5898.37          669.14         6567.51
2000-2009      104              3073.73          318.40         3392.12
2000-2009      105              1571.69          159.91         1731.60
2000-2009      106               737.25           78.82          816.07
2000-2009      107               330.56           31.60          362.16
2000-2009      108               143.37           10.15          153.52
2000-2009      109                58.26            5.29           63.55
2000-2009      110+               32.33            6.00           38.33
2010-2015        0           2005043.69      2110745.66      4115789.34
2010-2015        1           2000172.07      2105419.82      4105591.88
2010-2015        2           2001723.63      2107898.07      4109621.69
2010-2015        3           2004335.97      2111009.73      4115345.70
2010-2015        4           2010082.39      2117723.26      4127805.65
2010-2015        5           2021717.91      2130986.88      4152704.79
2010-2015        6           2034576.21      2144731.72      4179307.93
2010-2015        7           2049862.17      2161067.49      4210929.66
2010-2015        8           2065295.12      2178003.74      4243298.85
2010-2015        9           2100821.28      2214945.08      4315766.35
2010-2015       10           2145195.11      2261774.15      4406969.26
2010-2015       11           2185275.23      2304389.48      4489664.71
2010-2015       12           2231199.70      2352473.17      4583672.88
2010-2015       13           2283191.77      2406863.62      4690055.40
2010-2015       14           2311260.15      2436237.45      4747497.61
2010-2015       15           2323423.50      2451060.40      4774483.89
2010-2015       16           2338069.83      2472795.43      4810865.27
2010-2015       17           2359324.39      2495901.99      4855226.38
2010-2015       18           2392290.03      2536503.11      4928793.14
2010-2015       19           2464950.76      2607786.32      5072737.08
2010-2015       20           2576885.64      2714209.37      5291095.02
2010-2015       21           2688467.98      2822114.60      5510582.57
2010-2015       22           2788815.49      2924244.83      5713060.32
2010-2015       23           2873200.66      3009695.74      5882896.40
2010-2015       24           2930476.32      3066093.54      5996569.86
2010-2015       25           2943610.44      3076931.97      6020542.41
2010-2015       26           2934728.11      3062651.23      5997379.33
2010-2015       27           2932163.33      3052130.69      5984294.02
2010-2015       28           2929355.59      3036214.42      5965570.01
2010-2015       29           2935207.80      3025974.34      5961182.14
2010-2015       30           2941851.21      3019478.34      5961329.55
2010-2015       31           2934007.61      2998518.24      5932525.85
2010-2015       32           2926628.37      2980002.38      5906630.74
2010-2015       33           2898101.97      2942928.20      5841030.17
2010-2015       34           2855562.47      2894095.85      5749658.32
2010-2015       35           2809019.37      2844580.60      5653599.97
2010-2015       36           2778458.30      2811842.01      5590300.32
2010-2015       37           2782547.43      2815138.95      5597686.38
2010-2015       38           2843418.84      2877268.13      5720686.97
2010-2015       39           2945877.27      2983604.75      5929482.02
2010-2015       40           3084262.27      3128430.76      6212693.03
2010-2015       41           3264930.77      3320381.81      6585312.59
2010-2015       42           3465621.28      3533790.82      6999412.10
2010-2015       43           3666369.27      3747670.00      7414039.27
2010-2015       44           3821621.46      3915190.74      7736812.20
2010-2015       45           3951637.52      4056034.56      8007672.08
2010-2015       46           4062611.44      4173320.00      8235931.43
2010-2015       47           4119655.03      4230332.25      8349987.28
2010-2015       48           4134825.44      4239516.33      8374341.77
2010-2015       49           4118495.24      4212616.08      8331111.33
2010-2015       50           4072486.29      4152630.71      8225117.00
2010-2015       51           3995525.82      4060199.42      8055725.24
2010-2015       52           3885651.50      3933789.64      7819441.15
2010-2015       53           3773064.79      3805183.59      7578248.38
2010-2015       54           3662824.46      3677704.69      7340529.15
2010-2015       55           3557472.68      3550300.72      7107773.39
2010-2015       56           3459854.65      3425555.17      6885409.83
2010-2015       57           3378614.66      3315486.88      6694101.54
2010-2015       58           3319029.70      3227548.06      6546577.76
2010-2015       59           3265270.97      3147802.75      6413073.73
2010-2015       60           3218019.54      3081069.63      6299089.17
2010-2015       61           3150812.76      3004767.17      6155579.92
2010-2015       62           3049062.94      2900423.02      5949485.96
2010-2015       63           2935017.05      2783617.34      5718634.38
2010-2015       64           2745782.11      2591691.22      5337473.33
2010-2015       65           2612202.01      2449779.67      5061981.68
2010-2015       66           2545362.13      2370787.11      4916149.24
2010-2015       67           2503943.69      2312336.39      4816280.08
2010-2015       68           2549384.62      2329744.22      4879128.84
2010-2015       69           2676063.01      2416235.26      5092298.27
2010-2015       70           2886703.29      2573404.10      5460107.40
2010-2015       71           3022573.47      2658548.62      5681122.09
2010-2015       72           3060249.64      2648922.26      5709171.90
2010-2015       73           3072430.11      2609449.44      5681879.55
2010-2015       74           3023729.00      2515126.00      5538854.99
2010-2015       75           2884745.99      2346836.89      5231582.88
2010-2015       76           2674315.86      2124574.24      4798890.10
2010-2015       77           2444386.16      1889532.38      4333918.54
2010-2015       78           2250344.85      1685219.89      3935564.74
2010-2015       79           2089161.52      1509313.17      3598474.69
2010-2015       80           1943792.85      1348162.75      3291955.60
2010-2015       81           1810657.00      1201587.05      3012244.05
2010-2015       82           1710673.93      1079643.34      2790317.27
2010-2015       83           1629679.27       967714.54      2597393.81
2010-2015       84           1537820.73       849488.81      2387309.54
2010-2015       85           1422230.20       721674.70      2143904.90
2010-2015       86           1288949.61       594853.13      1883802.74
2010-2015       87           1156589.42       482839.15      1639428.57
2010-2015       88           1031652.61       389633.43      1421286.04
2010-2015       89            906298.55       311941.98      1218240.53
2010-2015       90            761412.69       241774.78      1003187.47
2010-2015       91            599310.85       177715.83       777026.69
2010-2015       92            447456.46       124733.94       572190.40
