France, Civilian Population, Exposure to risk (period 1x10), 	Last modified: 27 Aug 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1820-1829       19           2741926.58      2825801.31      5567727.89
1820-1829       20           2728169.78      2793494.74      5521664.52
1820-1829       21           2706115.28      2751819.88      5457935.16
1820-1829       22           2683708.74      2707537.77      5391246.51
1820-1829       23           2661007.47      2661470.11      5322477.59
1820-1829       24           2650623.84      2616157.24      5266781.08
1820-1829       25           2641674.80      2562647.65      5204322.45
1820-1829       26           2615681.12      2499443.18      5115124.30
1820-1829       27           2584297.98      2433299.09      5017597.07
1820-1829       28           2548407.91      2364837.92      4913245.82
1820-1829       29           2505542.34      2289476.19      4795018.53
1820-1829       30           2457504.80      2208123.16      4665627.96
1820-1829       31           2414522.87      2133326.73      4547849.60
1820-1829       32           2376404.96      2063455.42      4439860.38
1820-1829       33           2346464.32      2001587.77      4348052.09
1820-1829       34           2300728.11      1948836.99      4249565.10
1820-1829       35           2238251.62      1904078.84      4142330.46
1820-1829       36           2195910.68      1876342.35      4072253.03
1820-1829       37           2160123.53      1854384.74      4014508.27
1820-1829       38           2129173.11      1836565.80      3965738.91
1820-1829       39           2098191.89      1824352.72      3922544.62
1820-1829       40           2061690.63      1813043.01      3874733.64
1820-1829       41           2024302.57      1797984.83      3822287.39
1820-1829       42           1983487.61      1779001.73      3762489.34
1820-1829       43           1936337.68      1753491.13      3689828.81
1820-1829       44           1897612.81      1720507.81      3618120.62
1820-1829       45           1870366.42      1683473.27      3553839.70
1820-1829       46           1834260.76      1638032.63      3472293.40
1820-1829       47           1795842.55      1590544.20      3386386.75
1820-1829       48           1756488.28      1542449.99      3298938.27
1820-1829       49           1714460.79      1493199.10      3207659.89
1820-1829       50           1673033.36      1445588.35      3118621.70
1820-1829       51           1635582.38      1402833.54      3038415.92
1820-1829       52           1600611.38      1362862.11      2963473.49
1820-1829       53           1568489.48      1325910.07      2894399.55
1820-1829       54           1529645.26      1292984.00      2822629.26
1820-1829       55           1486159.23      1264972.53      2751131.76
1820-1829       56           1446639.59      1241363.47      2688003.06
1820-1829       57           1409235.75      1218803.33      2628039.08
1820-1829       58           1371471.90      1195312.44      2566784.34
1820-1829       59           1331933.21      1170945.02      2502878.22
1820-1829       60           1289851.64      1145545.97      2435397.61
1820-1829       61           1241078.61      1113442.09      2354520.70
1820-1829       62           1188544.60      1077745.04      2266289.64
1820-1829       63           1132409.58      1038324.54      2170734.12
1820-1829       64           1077157.77       995612.22      2072769.99
1820-1829       65           1027965.38       954463.29      1982428.67
1820-1829       66            974275.85       907154.90      1881430.76
1820-1829       67            920805.15       858408.88      1779214.03
1820-1829       68            867527.17       808392.44      1675919.62
1820-1829       69            816101.13       757332.23      1573433.36
1820-1829       70            765262.01       704353.65      1469615.66
1820-1829       71            707373.45       647260.87      1354634.32
1820-1829       72            646553.34       589664.71      1236218.05
1820-1829       73            584900.77       533215.95      1118116.71
1820-1829       74            523745.50       479333.67      1003079.17
1820-1829       75            462458.72       426011.05       888469.77
1820-1829       76            404269.60       375093.69       779363.29
1820-1829       77            351742.64       327647.15       679389.79
1820-1829       78            304486.07       283659.54       588145.61
1820-1829       79            262301.00       242621.18       504922.18
1820-1829       80            214361.27       198340.67       412701.94
1820-1829       81            178759.60       165371.69       344131.28
1820-1829       82            146883.74       136119.23       283002.96
1820-1829       83            118930.64       110600.21       229530.85
1820-1829       84             95099.02        88833.82       183932.84
1820-1829       85             75468.88        70732.03       146200.91
1820-1829       86             59897.20        56152.92       116050.13
1820-1829       87             47665.37        44498.43        92163.80
1820-1829       88             38060.16        35214.50        73274.66
1820-1829       89             30418.89        27796.62        58215.51
1820-1829       90             24121.78        21776.53        45898.31
1820-1829       91             18857.83        16911.89        35769.71
1820-1829       92             14466.68        13002.93        27469.61
1820-1829       93             10874.29         9900.93        20775.23
1820-1829       94              7991.59         7446.27        15437.86
1820-1829       95              5709.00         5474.24        11183.24
1820-1829       96              3962.95         3902.19         7865.14
1820-1829       97              2653.08         2655.81         5308.89
1820-1829       98              1699.35         1706.56         3405.91
1820-1829       99              1024.57         1012.62         2037.19
1820-1829      100               604.77          590.64         1195.41
1820-1829      101               386.94          383.73          770.67
1820-1829      102               242.11          243.78          485.90
1820-1829      103               147.48          151.06          298.54
1820-1829      104                86.37           90.90          177.26
1820-1829      105                47.59           51.77           99.35
1820-1829      106                23.64           26.86           50.51
1820-1829      107                 9.87           11.64           21.51
1820-1829      108                 2.56            3.52            6.08
1820-1829      109                 0.09            0.52            0.60
1820-1829      110+                0.00            0.00            0.00
1830-1839        0           4319528.62      4516948.32      8836476.94
1830-1839        1           3887800.57      3984951.31      7872751.88
1830-1839        2           3702943.54      3783706.48      7486650.02
1830-1839        3           3566935.43      3638713.87      7205649.31
1830-1839        4           3472599.82      3541774.38      7014374.19
1830-1839        5           3389546.06      3461558.46      6851104.52
1830-1839        6           3327201.42      3406517.59      6733719.01
1830-1839        7           3272697.17      3356789.48      6629486.65
1830-1839        8           3227276.06      3313486.18      6540762.24
1830-1839        9           3186641.36      3271672.70      6458314.06
1830-1839       10           3155723.53      3238728.17      6394451.70
1830-1839       11           3124566.11      3206518.15      6331084.26
1830-1839       12           3096692.64      3178476.37      6275169.00
1830-1839       13           3072658.80      3155829.35      6228488.15
1830-1839       14           3044042.69      3135162.12      6179204.81
1830-1839       15           3007709.25      3111568.35      6119277.59
1830-1839       16           2975715.89      3086711.39      6062427.28
1830-1839       17           2938476.71      3058803.50      5997280.21
1830-1839       18           2899777.80      3030114.12      5929891.92
1830-1839       19           2859806.57      2999138.14      5858944.70
1830-1839       20           2810999.82      2956525.81      5767525.63
1830-1839       21           2765828.48      2913752.02      5679580.51
1830-1839       22           2722369.63      2868225.83      5590595.46
1830-1839       23           2679528.44      2819975.26      5499503.70
1830-1839       24           2640967.21      2767314.68      5408281.88
1830-1839       25           2611838.44      2717551.07      5329389.51
1830-1839       26           2579269.24      2672760.13      5252029.37
1830-1839       27           2547788.42      2631793.48      5179581.90
1830-1839       28           2517397.67      2594518.81      5111916.47
1830-1839       29           2497340.46      2566613.63      5063954.10
1830-1839       30           2481554.85      2541851.39      5023406.24
1830-1839       31           2459923.65      2511164.00      4971087.65
1830-1839       32           2436635.84      2477625.94      4914261.79
1830-1839       33           2411248.28      2440649.54      4851897.82
1830-1839       34           2396156.30      2400396.23      4796552.52
1830-1839       35           2388385.60      2355514.49      4743900.09
1830-1839       36           2361819.46      2293573.58      4655393.04
1830-1839       37           2329219.73      2227679.13      4556898.86
1830-1839       38           2292049.19      2159431.63      4451480.83
1830-1839       39           2249153.15      2086288.84      4335441.99
1830-1839       40           2202006.78      2008179.80      4210186.58
1830-1839       41           2159921.23      1933973.21      4093894.44
1830-1839       42           2121983.34      1863671.48      3985654.81
1830-1839       43           2091167.91      1799957.17      3891125.07
1830-1839       44           2047175.37      1743206.68      3790382.05
1830-1839       45           1990715.48      1693153.58      3683869.06
1830-1839       46           1950832.36      1659497.05      3610329.42
1830-1839       47           1915586.11      1631529.89      3547116.00
1830-1839       48           1881798.58      1606476.70      3488275.28
