Taiwan, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979       37            857207.47       909167.45      1766374.92
1970-1979       38            838651.20       906133.67      1744784.87
1970-1979       39            817784.04       909263.79      1727047.83
1970-1979       40            794402.22       913137.15      1707539.37
1970-1979       41            773851.16       920544.52      1694395.68
1970-1979       42            754019.53       929734.16      1683753.68
1970-1979       43            732825.36       939720.72      1672546.08
1970-1979       44            710356.20       947573.79      1657929.99
1970-1979       45            686650.82       950854.15      1637504.97
1970-1979       46            662869.26       945426.89      1608296.15
1970-1979       47            642354.75       932785.74      1575140.50
1970-1979       48            622554.48       915054.71      1537609.19
1970-1979       49            599052.24       887289.98      1486342.21
1970-1979       50            570284.77       850537.37      1420822.14
1970-1979       51            542397.02       806279.56      1348676.58
1970-1979       52            517561.37       760477.00      1278038.37
1970-1979       53            493758.04       714056.00      1207814.04
1970-1979       54            468670.56       667042.05      1135712.61
1970-1979       55            446530.13       624702.05      1071232.19
1970-1979       56            427302.35       590039.40      1017341.75
1970-1979       57            409048.98       559290.25       968339.23
1970-1979       58            390521.16       524564.98       915086.14
1970-1979       59            374107.99       488731.40       862839.39
1970-1979       60            359356.20       458871.09       818227.29
1970-1979       61            344883.12       430187.99       775071.10
1970-1979       62            329175.29       401846.27       731021.56
1970-1979       63            314029.86       373846.00       687875.87
1970-1979       64            299190.98       347468.33       646659.30
1970-1979       65            282223.71       318074.52       600298.23
1970-1979       66            263706.04       287510.79       551216.84
1970-1979       67            245609.43       255081.58       500691.01
1970-1979       68            227754.92       226999.10       454754.01
1970-1979       69            210570.93       204449.92       415020.85
1970-1979       70            193837.40       182428.72       376266.11
1970-1979       71            179070.22       162582.40       341652.62
1970-1979       72            164033.92       143968.79       308002.71
1970-1979       73            147822.12       126023.43       273845.55
1970-1979       74            131834.74       109196.60       241031.33
1970-1979       75            118176.91        93774.99       211951.91
1970-1979       76            105702.42        80036.52       185738.94
1970-1979       77             94719.45        67765.86       162485.31
1970-1979       78             84004.99        56838.12       140843.11
1970-1979       79             72853.00        47175.55       120028.55
1970-1979       80             60139.62        38683.26        98822.88
1970-1979       81             51346.49        31665.97        83012.46
1970-1979       82             43488.97        25794.29        69283.26
1970-1979       83             36737.36        20992.64        57730.00
1970-1979       84             30846.07        16883.82        47729.89
1970-1979       85             25632.37        13398.81        39031.18
1970-1979       86             21077.72        10632.37        31710.10
1970-1979       87             17084.85         8342.13        25426.98
1970-1979       88             13689.86         6441.20        20131.06
1970-1979       89             10862.65         4915.83        15778.49
1970-1979       90              8451.74         3711.56        12163.30
1970-1979       91              6448.53         2762.27         9210.80
1970-1979       92              4821.18         2026.06         6847.24
1970-1979       93              3544.29         1494.63         5038.92
1970-1979       94              2572.46         1080.11         3652.57
1970-1979       95              1833.41          754.28         2587.69
1970-1979       96              1288.13          520.89         1809.02
1970-1979       97               891.60          353.26         1244.86
1970-1979       98               605.16          236.20          841.35
1970-1979       99               401.18          154.54          555.73
1970-1979      100               260.08           98.02          358.11
1970-1979      101               164.65           59.85          224.50
1970-1979      102               101.33           34.42          135.75
1970-1979      103                59.95           18.28           78.23
1970-1979      104                33.71            8.15           41.86
1970-1979      105                17.63            2.60           20.23
1970-1979      106                 8.35            0.47            8.82
1970-1979      107                 3.35            0.00            3.35
1970-1979      108                 0.47            0.00            0.47
1970-1979      109                 0.00            0.00            0.00
1970-1979      110+                0.00            0.00            0.00
1980-1989        0           1621179.78      1741448.23      3362628.00
1980-1989        1           1785564.79      1907958.41      3693523.20
1980-1989        2           1831041.32      1952762.76      3783804.08
1980-1989        3           1886716.32      2009514.26      3896230.57
1980-1989        4           1915000.67      2037096.82      3952097.49
1980-1989        5           1918134.12      2038339.59      3956473.70
1980-1989        6           1909238.06      2027904.85      3937142.91
1980-1989        7           1893489.73      2011217.45      3904707.18
1980-1989        8           1875657.06      1987940.97      3863598.03
1980-1989        9           1861025.93      1971244.28      3832270.21
1980-1989       10           1846143.49      1955634.42      3801777.91
1980-1989       11           1834445.01      1942451.70      3776896.71
1980-1989       12           1827864.02      1934110.98      3761975.00
1980-1989       13           1812782.27      1917233.40      3730015.68
1980-1989       14           1819193.75      1923623.39      3742817.14
1980-1989       15           1835870.27      1936372.73      3772242.99
1980-1989       16           1858239.63      1958157.17      3816396.79
1980-1989       17           1880873.81      1979014.92      3859888.72
1980-1989       18           1899267.93      1998067.12      3897335.05
1980-1989       19           1911002.64      2008562.51      3919565.15
1980-1989       20           1921387.10      2020215.32      3941602.42
1980-1989       21           1923305.94      2021420.01      3944725.95
1980-1989       22           1922804.67      2018369.14      3941173.81
1980-1989       23           1915334.52      2007855.67      3923190.20
1980-1989       24           1903168.17      1993299.17      3896467.34
1980-1989       25           1883829.86      1972963.97      3856793.83
1980-1989       26           1852277.65      1938792.72      3791070.37
1980-1989       27           1816560.28      1899485.09      3716045.38
1980-1989       28           1784635.86      1865236.17      3649872.03
1980-1989       29           1742292.48      1819187.07      3561479.55
1980-1989       30           1683879.31      1759996.48      3443875.79
1980-1989       31           1617166.05      1689740.55      3306906.61
1980-1989       32           1543241.00      1615988.21      3159229.21
1980-1989       33           1454865.36      1524610.71      2979476.07
1980-1989       34           1354409.23      1418645.24      2773054.47
1980-1989       35           1256793.26      1319119.49      2575912.76
1980-1989       36           1179803.27      1238322.28      2418125.56
1980-1989       37           1106942.15      1163829.19      2270771.34
1980-1989       38           1036453.53      1090136.36      2126589.89
1980-1989       39            979680.79      1029532.37      2009213.16
1980-1989       40            937549.10       982417.65      1919966.76
1980-1989       41            903552.20       944045.65      1847597.85
1980-1989       42            881864.64       918425.95      1800290.59
1980-1989       43            872443.73       906034.66      1778478.38
1980-1989       44            871979.34       904229.05      1776208.39
1980-1989       45            865544.51       899003.10      1764547.61
1980-1989       46            851049.38       887402.43      1738451.81
1980-1989       47            832954.91       876778.39      1709733.30
1980-1989       48            814472.95       870908.69      1685381.63
1980-1989       49            792959.95       870269.30      1663229.25
1980-1989       50            769533.21       874127.28      1643660.50
1980-1989       51            748769.08       879613.49      1628382.57
1980-1989       52            727289.09       886507.57      1613796.66
1980-1989       53            705881.95       891553.03      1597434.98
1980-1989       54            684215.76       895625.51      1579841.27
1980-1989       55            657690.99       889626.19      1547317.18
1980-1989       56            632875.73       877807.54      1510683.27
1980-1989       57            609507.47       860230.94      1469738.41
1980-1989       58            586818.40       836866.61      1423685.01
1980-1989       59            561331.13       802484.41      1363815.53
1980-1989       60            533004.10       758698.47      1291702.57
1980-1989       61            504749.86       711811.65      1216561.51
1980-1989       62            478411.88       664340.22      1142752.10
1980-1989       63            451987.83       616328.83      1068316.66
1980-1989       64            425530.26       567294.47       992824.73
1980-1989       65            402132.16       523398.64       925530.80
1980-1989       66            381555.62       486344.81       867900.43
1980-1989       67            361530.28       454059.27       815589.55
1980-1989       68            339479.35       417256.13       756735.48
1980-1989       69            319125.39       379863.16       698988.54
1980-1989       70            301548.33       346808.61       648356.93
1980-1989       71            282546.60       315223.15       597769.75
1980-1989       72            263392.87       285136.47       548529.34
1980-1989       73            245136.56       255715.62       500852.18
1980-1989       74            226791.14       228175.30       454966.44
1980-1989       75            206642.53       199282.56       405925.09
