The United States of America, Exposure to risk (period 1x10), 	Last modified: 04 May 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1939       47           5307480.39      5661712.53     10969192.91
1933-1939       48           5144179.75      5515461.73     10659641.48
1933-1939       49           4981823.94      5362102.10     10343926.04
1933-1939       50           4819107.27      5200023.89     10019131.17
1933-1939       51           4655291.53      5029498.98      9684790.50
1933-1939       52           4490542.12      4851803.13      9342345.25
1933-1939       53           4327252.01      4671358.04      8998610.05
1933-1939       54           4168307.05      4492601.83      8660908.88
1933-1939       55           4015278.85      4317502.48      8332781.33
1933-1939       56           3867614.85      4145789.58      8013404.43
1933-1939       57           3723957.31      3976360.40      7700317.71
1933-1939       58           3581587.15      3807156.57      7388743.72
1933-1939       59           3438557.75      3636968.88      7075526.62
1933-1939       60           3296087.47      3468256.16      6764343.62
1933-1939       61           3155763.99      3303417.05      6459181.04
1933-1939       62           3018769.89      3144385.16      6163155.04
1933-1939       63           2884182.85      2990136.24      5874319.08
1933-1939       64           2750264.02      2838530.07      5588794.09
1933-1939       65           2614132.39      2686595.91      5300728.30
1933-1939       66           2473084.09      2531289.67      5004373.76
1933-1939       67           2326375.84      2371378.00      4697753.84
1933-1939       68           2176577.49      2208504.01      4385081.50
1933-1939       69           2026089.42      2045292.74      4071382.16
1933-1939       70           1877414.93      1883781.41      3761196.34
1933-1939       71           1733745.78      1727449.21      3461194.99
1933-1939       72           1596150.56      1577941.11      3174091.67
1933-1939       73           1465058.91      1436305.44      2901364.35
1933-1939       74           1340957.04      1303300.64      2644257.68
1933-1939       75           1246918.64      1199321.46      2446240.09
1933-1939       76           1131114.72      1076697.76      2207812.48
1933-1939       77           1015529.82       955729.25      1971259.07
1933-1939       78            900428.21       837024.52      1737452.72
1933-1939       79            788266.38       722904.76      1511171.15
1933-1939       80            710942.18       625685.39      1336627.56
1933-1939       81            609164.41       527048.02      1136212.43
1933-1939       82            516657.68       438576.90       955234.58
1933-1939       83            433573.20       360463.20       794036.40
1933-1939       84            360054.87       292643.30       652698.17
1933-1939       85            295830.22       234604.35       530434.56
1933-1939       86            240567.48       185961.91       426529.39
1933-1939       87            193221.48       145485.18       338706.66
1933-1939       88            153041.38       112159.56       265200.94
1933-1939       89            119370.58        85066.02       204436.60
1933-1939       90             91584.60        63398.94       154983.54
1933-1939       91             69424.93        46679.56       116104.49
1933-1939       92             52038.08        34035.78        86073.87
1933-1939       93             38648.20        24702.52        63350.71
1933-1939       94             28506.60        17899.51        46406.10
1933-1939       95             20859.82        12877.64        33737.46
1933-1939       96             15235.09         9212.56        24447.65
1933-1939       97             11166.59         6578.70        17745.29
1933-1939       98              8263.74         4752.84        13016.58
1933-1939       99              6162.08         3480.82         9642.91
1933-1939      100              4406.20         2437.08         6843.27
1933-1939      101              3009.42         1621.17         4630.59
1933-1939      102              2025.73         1066.13         3091.85
1933-1939      103              1348.12          694.52         2042.64
1933-1939      104               888.75          448.04         1336.79
1933-1939      105               577.07          284.23          861.30
1933-1939      106               366.63          176.42          543.05
1933-1939      107               228.08          107.58          335.66
1933-1939      108               139.75           63.61          203.36
1933-1939      109                84.38           35.28          119.66
1933-1939      110+              103.06           31.63          134.68
1940-1949        0          12924098.68     13543279.43     26467378.11
1940-1949        1          12658410.00     13158572.61     25816982.61
1940-1949        2          12980843.98     13389821.42     26370665.40
1940-1949        3          12447107.08     12821490.71     25268597.79
1940-1949        4          12082391.24     12498230.05     24580621.28
1940-1949        5          11605930.79     11988441.85     23594372.64
1940-1949        6          11251202.17     11603544.28     22854746.45
1940-1949        7          10871093.66     11194086.85     22065180.51
1940-1949        8          10623394.77     10917945.41     21541340.18
1940-1949        9          10481711.75     10776882.66     21258594.41
1940-1949       10          10680322.67     11073719.76     21754042.43
1940-1949       11          10741050.69     11144828.90     21885879.59
1940-1949       12          10857541.58     11257066.14     22114607.72
1940-1949       13          11033615.16     11419587.32     22453202.48
1940-1949       14          11238541.16     11588836.00     22827377.15
1940-1949       15          11410645.54     11632985.34     23043630.87
1940-1949       16          11559598.35     11699208.80     23258807.15
1940-1949       17          11693543.26     11754041.46     23447584.73
1940-1949       18          11789357.29     10376669.74     22166027.03
1940-1949       19          11833100.01     10126440.51     21959540.51
1940-1949       20          11814581.80     10115944.21     21930526.01
1940-1949       21          11885582.63     10219931.34     22105513.97
1940-1949       22          11932098.54     10320111.11     22252209.65
1940-1949       23          11967630.10     10428620.05     22396250.15
1940-1949       24          11990836.09     10541379.51     22532215.60
1940-1949       25          12067922.51     10674910.59     22742833.10
1940-1949       26          11999899.51     10689459.40     22689358.91
1940-1949       27          11888471.06     10658237.27     22546708.33
1940-1949       28          11740039.86     10587409.70     22327449.56
1940-1949       29          11580014.97     10504123.04     22084138.01
1940-1949       30          11326949.70     10358179.57     21685129.27
1940-1949       31          11156674.38     10278402.06     21435076.44
1940-1949       32          11006094.70     10206181.22     21212275.92
1940-1949       33          10871516.05     10139735.95     21011252.00
1940-1949       34          10738615.98     10062145.80     20800761.78
1940-1949       35          10677806.77     10021668.67     20699475.45
1940-1949       36          10559861.08      9968633.87     20528494.95
1940-1949       37          10417955.48      9898156.00     20316111.48
1940-1949       38          10261185.00      9818434.32     20079619.33
1940-1949       39          10094812.90      9732859.04     19827671.93
1940-1949       40           9866345.15      9619261.89     19485607.04
1940-1949       41           9637965.52      9487517.15     19125482.67
1940-1949       42           9427968.26      9353281.18     18781249.44
1940-1949       43           9236895.56      9220408.30     18457303.86
1940-1949       44           9065418.29      9092223.63     18157641.92
1940-1949       45           8939552.14      8985849.38     17925401.51
1940-1949       46           8796875.20      8866236.77     17663111.96
1940-1949       47           8655798.56      8753962.76     17409761.32
1940-1949       48           8505706.40      8639197.45     17144903.84
1940-1949       49           8337730.79      8512493.61     16850224.40
1940-1949       50           8107509.62      8331302.85     16438812.47
1940-1949       51           7873703.21      8121219.36     15994922.57
1940-1949       52           7632697.67      7897708.96     15530406.63
1940-1949       53           7386258.28      7658117.41     15044375.68
1940-1949       54           7135766.95      7402939.23     14538706.18
1940-1949       55           6890843.62      7123745.06     14014588.68
1940-1949       56           6646489.93      6868170.46     13514660.39
1940-1949       57           6395114.09      6602892.47     12998006.56
1940-1949       58           6142384.56      6333587.19     12475971.75
1940-1949       59           5890247.51      6061725.77     11951973.28
1940-1949       60           5678399.34      5837751.33     11516150.67
1940-1949       61           5511601.59      5633966.82     11145568.41
1940-1949       62           5346866.74      5423742.22     10770608.96
1940-1949       63           5180284.94      5207872.05     10388156.99
1940-1949       64           5010154.91      4988247.85      9998402.76
1940-1949       65           4832770.02      4758751.61      9591521.63
1940-1949       66           4606575.16      4499699.50      9106274.66
1940-1949       67           4372002.51      4241187.76      8613190.27
1940-1949       68           4130110.32      3982377.56      8112487.88
1940-1949       69           3885555.39      3726737.02      7612292.41
1940-1949       70           3599126.56      3445750.42      7044876.99
1940-1949       71           3304863.68      3152082.85      6456946.53
1940-1949       72           3024094.06      2870216.47      5894310.53
1940-1949       73           2755626.96      2599207.42      5354834.38
1940-1949       74           2495800.57      2336411.60      4832212.17
1940-1949       75           2260427.48      2084869.09      4345296.57
1940-1949       76           2056715.98      1869485.62      3926201.60
1940-1949       77           1857525.27      1663193.86      3520719.13
1940-1949       78           1664171.18      1467411.13      3131582.31
1940-1949       79           1477059.88      1282683.26      2759743.14
