Greece, Exposure to risk (period 1x10), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999       22            784943.66       818254.02      1603197.69
1990-1999       23            790167.19       817995.78      1608162.97
1990-1999       24            792429.10       815091.43      1607520.53
1990-1999       25            793169.26       810827.15      1603996.41
1990-1999       26            790307.42       802774.59      1593082.00
1990-1999       27            786881.51       794087.86      1580969.36
1990-1999       28            784517.11       786666.40      1571183.51
1990-1999       29            781401.79       779187.93      1560589.72
1990-1999       30            777436.22       771718.08      1549154.29
1990-1999       31            771455.01       763291.39      1534746.40
1990-1999       32            762337.15       752853.45      1515190.60
1990-1999       33            755055.96       744252.90      1499308.85
1990-1999       34            752222.28       739891.63      1492113.91
1990-1999       35            747792.98       735270.38      1483063.36
1990-1999       36            741175.94       730114.71      1471290.65
1990-1999       37            734285.53       725017.59      1459303.12
1990-1999       38            727237.73       720744.59      1447982.31
1990-1999       39            718546.64       714967.05      1433513.69
1990-1999       40            706797.05       704629.75      1411426.80
1990-1999       41            694627.03       693588.11      1388215.14
1990-1999       42            688453.37       687921.76      1376375.13
1990-1999       43            686424.25       687111.75      1373536.00
1990-1999       44            683176.60       683855.21      1367031.81
1990-1999       45            678148.30       677207.67      1355355.97
1990-1999       46            664424.16       663252.80      1327676.97
1990-1999       47            647050.28       645507.39      1292557.67
1990-1999       48            631174.23       627566.81      1258741.03
1990-1999       49            625664.18       617946.04      1243610.23
1990-1999       50            628688.28       616856.14      1245544.42
1990-1999       51            625645.18       611794.59      1237439.77
1990-1999       52            622850.80       605979.15      1228829.95
1990-1999       53            620261.07       600079.19      1220340.27
1990-1999       54            624441.22       599382.53      1223823.75
1990-1999       55            632243.70       604083.94      1236327.63
1990-1999       56            642210.70       612288.63      1254499.33
1990-1999       57            654874.35       620881.77      1275756.13
1990-1999       58            666366.99       629850.34      1296217.33
1990-1999       59            672952.56       634627.66      1307580.22
1990-1999       60            675069.92       633773.68      1308843.59
1990-1999       61            674627.20       630586.70      1305213.90
1990-1999       62            671089.76       624155.19      1295244.94
1990-1999       63            663475.51       614513.83      1277989.34
1990-1999       64            656114.44       601988.04      1258102.49
1990-1999       65            642647.73       580646.90      1223294.63
1990-1999       66            618872.34       552352.66      1171225.00
1990-1999       67            593760.87       522367.89      1116128.76
1990-1999       68            568676.34       492031.48      1060707.82
