Belgium, Exposure to risk (period 1x10), 	Last modified: 25 Jan 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1849        0            511011.28       526283.80      1037295.08
1841-1849        1            465879.93       472191.28       938071.22
1841-1849        2            447224.67       453533.75       900758.42
1841-1849        3            439077.11       446567.00       885644.11
1841-1849        4            433715.02       442489.78       876204.80
1841-1849        5            425739.67       435483.57       861223.24
1841-1849        6            417735.44       428237.00       845972.45
1841-1849        7            409620.27       420958.65       830578.92
1841-1849        8            400816.42       412896.82       813713.24
1841-1849        9            392376.24       405225.20       797601.43
1841-1849       10            384021.76       398012.56       782034.32
1841-1849       11            376885.95       391607.74       768493.68
1841-1849       12            371440.63       385114.18       756554.80
1841-1849       13            365910.13       377878.57       743788.71
1841-1849       14            361672.88       371934.52       733607.41
1841-1849       15            358860.44       367844.84       726705.28
1841-1849       16            356474.93       365065.26       721540.18
1841-1849       17            355244.35       362767.75       718012.10
1841-1849       18            353952.09       359935.09       713887.18
1841-1849       19            351946.83       356240.41       708187.25
1841-1849       20            348412.06       351805.07       700217.14
1841-1849       21            343252.75       347252.08       690504.83
1841-1849       22            337489.60       342092.86       679582.46
1841-1849       23            328695.19       333439.89       662135.08
1841-1849       24            320676.53       324666.62       645343.15
1841-1849       25            312981.03       316218.24       629199.27
1841-1849       26            302540.40       305453.37       607993.77
1841-1849       27            293474.74       296256.86       589731.60
1841-1849       28            284719.70       287279.21       571998.91
1841-1849       29            278031.43       280581.16       558612.58
1841-1849       30            274220.01       277596.47       551816.48
1841-1849       31            270903.46       274499.63       545403.09
1841-1849       32            268829.95       271986.16       540816.11
1841-1849       33            264751.55       267957.39       532708.94
1841-1849       34            262325.71       266176.61       528502.32
1841-1849       35            260937.77       265952.74       526890.51
1841-1849       36            255804.08       261994.07       517798.14
1841-1849       37            251269.60       258495.33       509764.93
1841-1849       38            245881.96       253723.61       499605.57
1841-1849       39            241303.38       249622.15       490925.53
1841-1849       40            239753.09       249587.40       489340.50
1841-1849       41            237199.62       248436.29       485635.91
1841-1849       42            233341.46       244647.21       477988.67
1841-1849       43            227575.00       238219.78       465794.78
1841-1849       44            224827.41       234415.58       459242.99
1841-1849       45            223598.29       231606.51       455204.80
1841-1849       46            218175.65       223382.04       441557.69
1841-1849       47            212336.14       213708.22       426044.36
1841-1849       48            204740.37       201469.68       406210.04
1841-1849       49            196248.45       187464.46       383712.91
1841-1849       50            189617.52       175620.13       365237.65
1841-1849       51            183009.71       164805.31       347815.02
1841-1849       52            175712.24       153546.05       329258.28
1841-1849       53            166728.63       140978.69       307707.32
1841-1849       54            161428.02       132986.64       294414.66
1841-1849       55            159423.53       129936.17       289359.70
1841-1849       56            154713.73       125711.29       280425.01
1841-1849       57            149821.27       122139.53       271960.80
1841-1849       58            144443.80       118822.97       263266.77
1841-1849       59            139178.40       115724.51       254902.91
1841-1849       60            135328.06       114119.96       249448.02
1841-1849       61            131332.45       112383.02       243715.47
1841-1849       62            126505.34       109428.88       235934.22
1841-1849       63            119584.22       104154.66       223738.88
1841-1849       64            113809.21        99677.44       213486.66
1841-1849       65            109674.14        96541.17       206215.32
1841-1849       66            103918.65        91718.83       195637.48
1841-1849       67             98015.29        86643.37       184658.66
1841-1849       68             91487.31        81118.89       172606.20
1841-1849       69             84814.66        75310.95       160125.61
1841-1849       70             78943.92        70210.50       149154.42
1841-1849       71             73353.24        65392.40       138745.63
1841-1849       72             67875.40        60546.88       128422.28
1841-1849       73             61696.76        54904.00       116600.76
1841-1849       74             56498.54        50039.39       106537.93
1841-1849       75             52309.16        46186.01        98495.17
1841-1849       76             47362.66        41759.00        89121.66
1841-1849       77             42530.34        37337.36        79867.70
1841-1849       78             37699.82        32784.61        70484.44
1841-1849       79             32980.28        28307.94        61288.22
1841-1849       80             27359.09        22988.14        50347.23
1841-1849       81             23332.48        19409.68        42742.16
1841-1849       82             19625.22        16135.71        35760.93
1841-1849       83             16270.37        13193.12        29463.49
1841-1849       84             13300.57        10605.71        23906.28
1841-1849       85             10732.21         8384.16        19116.37
