Finland, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1880-1889       31            158962.70       154847.46       313810.17
1880-1889       32            157376.74       152642.45       310019.19
1880-1889       33            155404.43       150294.62       305699.05
1880-1889       34            153326.60       147841.50       301168.11
1880-1889       35            150915.89       145069.89       295985.78
1880-1889       36            147703.41       141451.87       289155.28
1880-1889       37            145232.70       138553.83       283786.52
1880-1889       38            142825.66       135948.40       278774.07
1880-1889       39            140085.57       133051.65       273137.22
1880-1889       40            137304.96       130085.12       267390.08
1880-1889       41            134291.14       127031.98       261323.12
1880-1889       42            130649.50       123425.11       254074.60
1880-1889       43            126738.13       119469.89       246208.02
1880-1889       44            122642.42       115291.42       237933.84
1880-1889       45            118692.99       111071.31       229764.30
1880-1889       46            115036.88       107104.98       222141.86
1880-1889       47            111160.70       102967.21       214127.91
1880-1889       48            107576.23        99085.44       206661.67
1880-1889       49            104386.29        95716.65       200102.94
1880-1889       50            101654.80        92639.80       194294.61
1880-1889       51             98627.08        89407.86       188034.94
1880-1889       52             96210.01        86715.47       182925.48
1880-1889       53             94178.31        84206.46       178384.77
1880-1889       54             92521.68        82045.34       174567.02
1880-1889       55             90838.13        79957.53       170795.66
1880-1889       56             89446.51        77941.39       167387.90
1880-1889       57             87675.97        75737.33       163413.30
1880-1889       58             85699.51        73431.74       159131.25
1880-1889       59             83509.07        70868.24       154377.31
1880-1889       60             80767.30        67803.68       148570.98
1880-1889       61             77291.19        64247.64       141538.83
1880-1889       62             73663.63        60703.06       134366.69
1880-1889       63             69874.43        57229.75       127104.17
1880-1889       64             65794.39        53510.03       119304.42
1880-1889       65             61643.67        49599.05       111242.72
1880-1889       66             57396.32        45611.01       103007.33
1880-1889       67             53052.65        41576.67        94629.32
1880-1889       68             48750.12        37695.85        86445.98
1880-1889       69             44553.19        34050.46        78603.65
1880-1889       70             40279.50        30322.85        70602.35
1880-1889       71             36179.50        26721.48        62900.98
1880-1889       72             32089.57        23315.60        55405.16
1880-1889       73             28087.85        20109.61        48197.46
1880-1889       74             24610.71        17296.75        41907.46
1880-1889       75             21581.64        14854.15        36435.79
1880-1889       76             18931.77        12790.53        31722.30
1880-1889       77             16614.75        10974.74        27589.49
1880-1889       78             14423.10         9285.85        23708.95
1880-1889       79             12395.27         7764.85        20160.12
1880-1889       80             10239.18         6285.04        16524.22
1880-1889       81              8616.72         5196.85        13813.57
1880-1889       82              7161.15         4259.80        11420.96
1880-1889       83              5856.24         3407.77         9264.01
1880-1889       84              4711.61         2647.14         7358.75
1880-1889       85              3740.64         1998.22         5738.86
1880-1889       86              2915.55         1463.97         4379.52
1880-1889       87              2221.26         1050.75         3272.00
1880-1889       88              1633.99          723.07         2357.06
1880-1889       89              1133.66          486.71         1620.37
1880-1889       90               773.74          336.52         1110.25
1880-1889       91               540.93          213.83          754.76
1880-1889       92               362.62          124.35          486.97
1880-1889       93               238.55           71.18          309.73
1880-1889       94               159.81           41.33          201.13
1880-1889       95               101.03           24.71          125.74
1880-1889       96                60.66           15.21           75.88
1880-1889       97                37.33           10.01           47.34
1880-1889       98                23.31            7.00           30.32
1880-1889       99                14.03            2.99           17.02
1880-1889      100                 7.96            1.01            8.97
1880-1889      101                 3.99            1.01            5.00
1880-1889      102                 2.24            0.48            2.72
1880-1889      103                 1.25            0.00            1.25
1880-1889      104                 0.75            0.00            0.75
1880-1889      105                 0.25            0.00            0.25
1880-1889      106                 0.00            0.00            0.00
1880-1889      107                 0.00            0.00            0.00
1880-1889      108                 0.00            0.00            0.00
1880-1889      109                 0.00            0.00            0.00
1880-1889      110+                0.00            0.00            0.00
1890-1899        0            380420.70       393218.24       773638.94
1890-1899        1            343335.17       349596.06       692931.24
1890-1899        2            324377.01       328792.44       653169.46
1890-1899        3            311626.21       314732.97       626359.18
1890-1899        4            301147.88       303691.05       604838.94
1890-1899        5            292417.14       294750.05       587167.19
1890-1899        6            288145.03       291014.37       579159.40
1890-1899        7            284393.79       287547.11       571940.90
1890-1899        8            277075.68       280824.00       557899.68
1890-1899        9            268809.70       273048.20       541857.90
1890-1899       10            261488.15       265903.62       527391.78
1890-1899       11            259909.90       263558.68       523468.58
1890-1899       12            258955.61       262239.68       521195.29
1890-1899       13            259501.82       262298.30       521800.11
1890-1899       14            262430.36       264463.06       526893.41
1890-1899       15            268709.84       270010.79       538720.64
1890-1899       16            252825.46       254802.59       507628.05
1890-1899       17            235053.99       237738.11       472792.10
1890-1899       18            219198.92       221909.10       441108.02
1890-1899       19            202410.55       204900.88       407311.43
1890-1899       20            186391.72       188716.17       375107.89
1890-1899       21            188061.24       189465.50       377526.74
