Austria, Exposure to risk (period 1x10), 	Last modified: 03 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0            163171.07       172074.04       335245.11
1947-1949        1            148743.16       155903.77       304646.93
1947-1949        2            144696.78       150661.66       295358.44
1947-1949        3            144468.01       149265.79       293733.80
1947-1949        4            155944.47       160820.14       316764.62
1947-1949        5            166503.40       172059.42       338562.82
1947-1949        6            176418.74       182683.78       359102.52
1947-1949        7            187756.17       194554.59       382310.76
1947-1949        8            183462.37       190074.78       373537.15
1947-1949        9            166212.12       172171.14       338383.26
1947-1949       10            142874.62       148015.52       290890.14
1947-1949       11            129705.56       134276.56       263982.12
1947-1949       12            127521.14       132138.37       259659.51
1947-1949       13            129264.14       134970.23       264234.37
1947-1949       14            132407.27       140047.71       272454.97
1947-1949       15            135772.20       144834.86       280607.06
1947-1949       16            139898.59       149973.05       289871.63
1947-1949       17            143356.49       153507.59       296864.08
1947-1949       18            146244.81       155365.57       301610.38
1947-1949       19            147981.80       154054.18       302035.98
1947-1949       20            151467.99       151309.14       302777.13
1947-1949       21            157538.34       147660.81       305199.14
1947-1949       22            166059.85       144439.02       310498.87
1947-1949       23            173912.70       141632.86       315545.56
1947-1949       24            179945.75       140536.12       320481.87
1947-1949       25            183064.46       140356.40       323420.86
1947-1949       26            182403.19       139013.68       321416.88
1947-1949       27            175962.45       133991.35       309953.80
1947-1949       28            155013.15       118621.95       273635.10
1947-1949       29            128590.54        99694.56       228285.10
1947-1949       30            108492.34        85546.31       194038.64
1947-1949       31            106091.24        84009.81       190101.05
1947-1949       32            123724.33        97677.65       221401.97
1947-1949       33            144923.32       114590.91       259514.23
1947-1949       34            164999.45       131451.48       296450.93
1947-1949       35            173201.60       139450.76       312652.36
1947-1949       36            176785.42       143585.03       320370.44
1947-1949       37            178600.41       145985.51       324585.92
1947-1949       38            179538.59       147720.34       327258.92
1947-1949       39            179518.69       148808.20       328326.88
1947-1949       40            178784.58       149604.62       328389.20
1947-1949       41            177906.99       151285.58       329192.57
1947-1949       42            176914.68       153519.40       330434.08
1947-1949       43            175859.02       155280.16       331139.18
1947-1949       44            175076.46       156293.49       331369.95
1947-1949       45            174291.10       156569.83       330860.94
1947-1949       46            172847.02       155522.17       328369.19
1947-1949       47            170490.90       152508.50       322999.40
1947-1949       48            167371.83       147601.03       314972.85
1947-1949       49            163919.20       141469.92       305389.12
1947-1949       50            160508.52       135124.29       295632.81
1947-1949       51            157170.58       128824.30       285994.88
1947-1949       52            153577.21       122696.05       276273.26
1947-1949       53            149368.22       116776.07       266144.28
1947-1949       54            144675.50       111668.98       256344.48
1947-1949       55            139702.23       107597.95       247300.18
1947-1949       56            134616.91       103989.40       238606.30
1947-1949       57            130440.29       100795.87       231236.16
1947-1949       58            127991.78        98402.93       226394.71
1947-1949       59            126677.78        96678.92       223356.69
1947-1949       60            125018.24        94781.19       219799.43
1947-1949       61            122071.62        92318.98       214390.60
1947-1949       62            118180.76        89565.12       207745.88
1947-1949       63            113882.63        86691.99       200574.62
1947-1949       64            109449.10        83487.03       192936.13
1947-1949       65            104881.59        79909.36       184790.95
1947-1949       66            100425.54        76312.40       176737.94
1947-1949       67             96333.26        72922.87       169256.12
1947-1949       68             92507.20        69535.96       162043.16
1947-1949       69             88412.65        65933.49       154346.14
1947-1949       70             83691.78        62232.55       145924.33
1947-1949       71             78621.90        58582.34       137204.24
1947-1949       72             73009.47        54314.27       127323.73
1947-1949       73             66761.72        49299.72       116061.43
1947-1949       74             60075.24        43954.52       104029.76
1947-1949       75             53509.27        39118.24        92627.51
1947-1949       76             47226.53        34897.68        82124.21
1947-1949       77             41583.37        30939.14        72522.51
1947-1949       78             36449.95        26926.45        63376.40
1947-1949       79             31626.60        22917.56        54544.16
1947-1949       80             27026.87        19118.78        46145.66
1947-1949       81             22887.26        15943.15        38830.41
1947-1949       82             19167.35        13185.14        32352.49
1947-1949       83             15862.29        10730.82        26593.11
1947-1949       84             12807.46         8554.91        21362.36
1947-1949       85             10013.81         6578.25        16592.06
1947-1949       86              7651.07         4902.68        12553.75
1947-1949       87              5799.69         3594.59         9394.28
1947-1949       88              4333.67         2555.57         6889.23
1947-1949       89              3101.41         1758.22         4859.63
1947-1949       90              2132.50         1174.51         3307.01
1947-1949       91              1450.59          743.17         2193.77
1947-1949       92               999.67          464.95         1464.62
1947-1949       93               669.98          303.58          973.56
1947-1949       94               433.74          195.16          628.90
1947-1949       95               279.91          116.09          396.00
1947-1949       96               166.69           67.18          233.87
1947-1949       97                90.29           42.91          133.19
1947-1949       98                47.36           27.67           75.04
1947-1949       99                22.84           15.40           38.24
1947-1949      100                 6.83            8.87           15.70
1947-1949      101                 1.46            5.67            7.13
1947-1949      102                 0.76            2.89            3.65
1947-1949      103                 0.49            0.96            1.45
1947-1949      104                 0.00            0.23            0.23
1947-1949      105                 0.00            0.00            0.00
1947-1949      106                 0.00            0.00            0.00
1947-1949      107                 0.00            0.00            0.00
1947-1949      108                 0.00            0.00            0.00
1947-1949      109                 0.00            0.00            0.00
1947-1949      110+                0.00            0.00            0.00
1950-1959        0            518182.17       542292.21      1060474.39
1950-1959        1            505270.04       526676.65      1031946.69
1950-1959        2            500259.42       521371.76      1021631.18
1950-1959        3            496541.45       517613.97      1014155.42
1950-1959        4            487629.91       508983.88       996613.79
1950-1959        5            485314.94       506493.56       991808.50
1950-1959        6            484344.70       504457.57       988802.27
1950-1959        7            493017.87       513090.09      1006107.96
1950-1959        8            505535.09       525816.52      1031351.61
1950-1959        9            517932.53       538711.12      1056643.65
1950-1959       10            535476.02       556672.74      1092148.76
1950-1959       11            540424.35       561613.24      1102037.59
1950-1959       12            535767.70       556432.99      1092200.68
1950-1959       13            519732.44       539249.66      1058982.10
1950-1959       14            518954.77       538544.78      1057499.55
1950-1959       15            512142.84       532411.01      1044553.85
1950-1959       16            499373.51       519973.91      1019347.42
1950-1959       17            489536.75       510134.45       999671.19
1950-1959       18            474687.84       495812.71       970500.55
1950-1959       19            457492.28       477882.49       935374.77
1950-1959       20            435937.88       454758.39       890696.27
1950-1959       21            429408.06       446006.73       875414.79
1950-1959       22            434951.10       447950.66       882901.76
1950-1959       23            445527.91       452066.29       897594.20
1950-1959       24            457918.31       454684.70       912603.02
1950-1959       25            473693.36       456399.15       930092.50
1950-1959       26            491273.71       457541.23       948814.94
1950-1959       27            507564.42       456095.33       963659.74
1950-1959       28            523254.56       453877.00       977131.56
1950-1959       29            535018.55       448803.16       983821.71
1950-1959       30            541209.67       439070.43       980280.10
1950-1959       31            535215.95       420976.58       956192.53
1950-1959       32            519612.45       397866.70       917479.15
