Korea, Exposure to risk (period 1x10), 	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2016       14           2110334.50      2315393.55      4425728.05
2010-2016       15           2191329.47      2419347.65      4610677.12
2010-2016       16           2233228.61      2483060.90      4716289.52
2010-2016       17           2262926.91      2529228.58      4792155.49
2010-2016       18           2297841.53      2574766.13      4872607.66
2010-2016       19           2297566.87      2586987.23      4884554.10
2010-2016       20           2271298.74      2566730.62      4838029.37
2010-2016       21           2239206.88      2527257.69      4766464.57
2010-2016       22           2202791.44      2471718.48      4674509.92
2010-2016       23           2170172.87      2413305.68      4583478.55
2010-2016       24           2142570.65      2362889.21      4505459.87
2010-2016       25           2125227.95      2324026.35      4449254.30
2010-2016       26           2153766.12      2330008.76      4483774.88
2010-2016       27           2238356.61      2395726.76      4634083.38
2010-2016       28           2346186.02      2491247.50      4837433.51
2010-2016       29           2457780.39      2596865.14      5054645.53
2010-2016       30           2567151.49      2697503.40      5264654.89
2010-2016       31           2637634.16      2761559.72      5399193.88
2010-2016       32           2686667.60      2805973.51      5492641.10
2010-2016       33           2722975.66      2835206.55      5558182.21
2010-2016       34           2720785.60      2828443.30      5549228.90
2010-2016       35           2719621.75      2822666.67      5542288.42
2010-2016       36           2740951.23      2837950.58      5578901.81
2010-2016       37           2770860.72      2869210.15      5640070.87
2010-2016       38           2839098.74      2943137.86      5782236.59
2010-2016       39           2925667.33      3034027.60      5959694.93
2010-2016       40           2998288.43      3109046.59      6107335.02
2010-2016       41           3073809.08      3180999.59      6254808.66
2010-2016       42           3114782.20      3208860.57      6323642.77
2010-2016       43           3093915.25      3192054.48      6285969.73
2010-2016       44           3059453.80      3166123.69      6225577.49
2010-2016       45           3026919.86      3122664.74      6149584.60
2010-2016       46           2969490.07      3063295.60      6032785.66
2010-2016       47           2924289.79      3025039.51      5949329.30
2010-2016       48           2909623.16      3015118.44      5924741.60
2010-2016       49           2922655.46      3029481.94      5952137.40
2010-2016       50           2956367.18      3046378.87      6002746.05
2010-2016       51           2957795.14      3028549.91      5986345.05
2010-2016       52           2927555.57      2993731.67      5921287.24
2010-2016       53           2896791.57      2947561.92      5844353.49
2010-2016       54           2847864.25      2870478.20      5718342.45
2010-2016       55           2743990.23      2746485.50      5490475.72
2010-2016       56           2575070.96      2571532.66      5146603.62
2010-2016       57           2416010.61      2403860.24      4819870.84
2010-2016       58           2269460.67      2243827.99      4513288.66
2010-2016       59           2111720.04      2069829.03      4181549.07
2010-2016       60           1981920.18      1926886.18      3908806.36
2010-2016       61           1860865.19      1801064.61      3661929.79
2010-2016       62           1762801.05      1693956.13      3456757.17
2010-2016       63           1691311.97      1609493.37      3300805.33
2010-2016       64           1590601.46      1500945.87      3091547.33
2010-2016       65           1516162.04      1411457.52      2927619.56
2010-2016       66           1484555.74      1357196.68      2841752.41
2010-2016       67           1468854.83      1315672.00      2784526.83
2010-2016       68           1454879.51      1273527.75      2728407.26
2010-2016       69           1408163.46      1201514.10      2609677.56
2010-2016       70           1376778.67      1142349.78      2519128.45
2010-2016       71           1373734.93      1106432.04      2480166.97
2010-2016       72           1356837.18      1062817.70      2419654.87
2010-2016       73           1321055.96      1004866.02      2325921.97
