Greece, Deaths (period 1x10), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999       35               426.00         1006.00         1432.00
1990-1999       36               440.00         1028.00         1468.00
1990-1999       37               461.00         1117.00         1578.00
1990-1999       38               502.00         1160.00         1662.00
1990-1999       39               580.00         1171.00         1751.00
1990-1999       40               586.00         1341.00         1927.00
1990-1999       41               660.00         1308.00         1968.00
1990-1999       42               719.00         1503.00         2222.00
1990-1999       43               759.00         1606.00         2365.00
1990-1999       44               866.00         1768.00         2634.00
1990-1999       45               900.00         1940.00         2840.00
1990-1999       46              1023.00         2088.00         3111.00
1990-1999       47              1017.00         2132.00         3149.00
1990-1999       48              1079.00         2300.00         3379.00
1990-1999       49              1176.00         2522.00         3698.00
1990-1999       50              1333.00         2772.00         4105.00
1990-1999       51              1351.00         3046.00         4397.00
1990-1999       52              1460.00         3184.00         4644.00
1990-1999       53              1586.00         3459.00         5045.00
1990-1999       54              1757.00         3721.00         5478.00
1990-1999       55              1928.00         4103.00         6031.00
1990-1999       56              2214.00         4721.00         6935.00
1990-1999       57              2368.00         5162.00         7530.00
1990-1999       58              2674.00         5632.00         8306.00
1990-1999       59              3013.00         6380.00         9393.00
1990-1999       60              3383.00         6934.00        10317.00
1990-1999       61              3654.00         7635.00        11289.00
1990-1999       62              4064.00         8401.00        12465.00
1990-1999       63              4522.00         9161.00        13683.00
1990-1999       64              4889.00         9710.00        14599.00
1990-1999       65              5400.00        10506.00        15906.00
1990-1999       66              5906.00        10831.00        16737.00
1990-1999       67              6593.00        11396.00        17989.00
1990-1999       68              7073.00        11772.00        18845.00
1990-1999       69              7683.00        12632.00        20315.00
1990-1999       70              8842.00        13226.00        22068.00
1990-1999       71              9002.00        12767.00        21769.00
1990-1999       72              9665.00        13133.00        22798.00
1990-1999       73             10239.00        13418.00        23657.00
1990-1999       74             11123.00        13385.00        24508.00
1990-1999       75             12133.00        14110.00        26243.00
1990-1999       76             12918.00        14637.00        27555.00
1990-1999       77             14760.00        15026.00        29786.00
1990-1999       78             15696.00        15569.00        31265.00
1990-1999       79             17034.00        16572.00        33606.00
1990-1999       80             18851.00        16825.00        35676.00
1990-1999       81             19371.00        17121.00        36492.00
1990-1999       82             20007.00        17289.00        37296.00
1990-1999       83             20566.00        16571.00        37137.00
1990-1999       84             20540.00        16357.00        36897.00
1990-1999       85             19927.00        15551.00        35478.00
1990-1999       86             19474.00        14464.00        33938.00
1990-1999       87             17835.00        13306.00        31141.00
1990-1999       88             16563.00        11785.00        28348.00
1990-1999       89             14907.00        10466.00        25373.00
1990-1999       90             13572.00         8897.00        22469.00
1990-1999       91             11031.00         7238.00        18269.00
1990-1999       92              9497.00         6013.00        15510.00
1990-1999       93              7600.00         4802.00        12402.00
1990-1999       94              6162.00         3608.00         9770.00
1990-1999       95              4672.00         2683.00         7355.00
1990-1999       96              3687.00         2014.00         5701.00
1990-1999       97              2592.00         1409.00         4001.00
1990-1999       98              1865.00          960.00         2825.00
1990-1999       99              1385.00          799.00         2184.00
1990-1999      100              1178.91          519.49         1698.40
1990-1999      101               809.21          339.47         1148.68
1990-1999      102               529.41          215.47          744.88
1990-1999      103               335.51          133.13          468.64
1990-1999      104               211.50           80.49          291.99
1990-1999      105               130.51           47.86          178.37
1990-1999      106                76.75           27.86          104.61
1990-1999      107                43.93           15.72           59.65
1990-1999      108                25.58            7.83           33.41
1990-1999      109                14.59            2.71           17.30
1990-1999      110+               10.15            0.99           11.14
2000-2009        0              1932.00         2436.00         4368.00
2000-2009        1               141.00          164.00          305.00
2000-2009        2                94.00          121.00          215.00
2000-2009        3                62.00           77.00          139.00
2000-2009        4                60.00           72.00          132.00
2000-2009        5                62.00           82.00          144.00
2000-2009        6                59.00           83.00          142.00
2000-2009        7                51.00           74.00          125.00
2000-2009        8                50.00           75.00          125.00
2000-2009        9                53.00           69.00          122.00
2000-2009       10                55.00           71.00          126.00
2000-2009       11                53.00           53.00          106.00
2000-2009       12                57.00           78.00          135.00
2000-2009       13                54.00          117.00          171.00
2000-2009       14                70.00          146.00          216.00
2000-2009       15               104.00          210.00          314.00
2000-2009       16               105.00          269.00          374.00
2000-2009       17               120.00          390.00          510.00
2000-2009       18               166.00          587.00          753.00
2000-2009       19               178.00          627.00          805.00
2000-2009       20               166.00          730.00          896.00
2000-2009       21               192.00          788.00          980.00
2000-2009       22               206.00          863.00         1069.00
2000-2009       23               215.00          914.00         1129.00
2000-2009       24               221.00          973.00         1194.00
2000-2009       25               235.00          992.00         1227.00
2000-2009       26               227.00          912.00         1139.00
2000-2009       27               249.00          973.00         1222.00
2000-2009       28               284.00          916.00         1200.00
2000-2009       29               260.00          952.00         1212.00
2000-2009       30               278.00          904.00         1182.00
2000-2009       31               287.00          923.00         1210.00
2000-2009       32               343.00          911.00         1254.00
2000-2009       33               357.00          956.00         1313.00
2000-2009       34               392.00         1046.00         1438.00
2000-2009       35               418.00         1014.00         1432.00
2000-2009       36               410.00         1086.00         1496.00
2000-2009       37               445.00         1115.00         1560.00
