Belarus, Deaths (period 1x10), 	Last modified: 20 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969        0             18439.13        26025.00        44464.13
1960-1969        1              2343.01         2758.00         5101.01
1960-1969        2               892.00         1215.00         2107.00
1960-1969        3               692.00          890.00         1582.00
1960-1969        4               496.00          680.00         1176.00
1960-1969        5               453.00          617.00         1070.00
1960-1969        6               421.00          704.00         1125.00
1960-1969        7               390.00          616.00         1006.00
1960-1969        8               365.00          619.00          984.00
1960-1969        9               299.00          571.00          870.00
1960-1969       10               306.00          613.00          919.00
1960-1969       11               285.01          489.00          774.01
1960-1969       12               323.00          527.00          850.00
1960-1969       13               317.00          528.00          845.00
1960-1969       14               290.00          541.00          831.00
1960-1969       15               313.00          529.00          842.00
1960-1969       16               354.00          645.00          999.00
1960-1969       17               356.00          664.00         1020.00
1960-1969       18               363.00          838.00         1201.00
1960-1969       19               358.00          828.00         1186.00
1960-1969       20               467.00          981.00         1448.00
1960-1969       21               399.01          849.00         1248.01
1960-1969       22               509.01         1044.00         1553.01
1960-1969       23               484.01         1082.00         1566.01
1960-1969       24               516.00         1114.00         1630.00
1960-1969       25               576.01         1253.00         1829.01
1960-1969       26               611.00         1303.00         1914.00
1960-1969       27               612.00         1495.00         2107.00
1960-1969       28               692.00         1506.00         2198.00
1960-1969       29               661.00         1440.00         2101.00
1960-1969       30               867.00         1930.00         2797.00
1960-1969       31               740.00         1549.00         2289.00
1960-1969       32               928.00         1937.00         2865.00
1960-1969       33               844.00         1826.00         2670.00
1960-1969       34               977.00         1936.00         2913.00
1960-1969       35              1021.02         2106.00         3127.02
1960-1969       36              1129.00         2111.00         3240.00
1960-1969       37              1038.00         2110.00         3148.00
1960-1969       38              1119.00         2182.00         3301.00
1960-1969       39              1101.00         1974.00         3075.00
1960-1969       40              1409.01         2248.00         3657.01
1960-1969       41              1109.00         1827.00         2936.00
1960-1969       42              1325.00         2010.00         3335.00
1960-1969       43              1237.00         1814.00         3051.00
1960-1969       44              1257.02         1672.00         2929.02
1960-1969       45              1402.00         1821.00         3223.00
1960-1969       46              1348.02         1823.00         3171.02
1960-1969       47              1389.00         1726.00         3115.00
1960-1969       48              1615.01         1866.00         3481.01
1960-1969       49              1544.00         1809.00         3353.00
1960-1969       50              2291.02         2556.00         4847.02
1960-1969       51              1723.00         2171.00         3894.00
1960-1969       52              2324.02         2695.00         5019.02
