Latvia, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979       38               318.00         1098.05         1416.05
1970-1979       39               349.01         1148.04         1497.05
1970-1979       40               421.01         1241.04         1662.05
1970-1979       41               368.01         1224.04         1592.05
1970-1979       42               478.01         1337.06         1815.07
1970-1979       43               500.00         1291.05         1791.05
1970-1979       44               569.01         1390.04         1959.05
1970-1979       45               562.01         1385.04         1947.05
1970-1979       46               642.01         1370.03         2012.04
1970-1979       47               733.01         1520.04         2253.05
1970-1979       48               801.01         1466.03         2267.04
1970-1979       49               758.01         1446.04         2204.05
1970-1979       50               868.01         1540.05         2408.06
1970-1979       51               874.01         1498.04         2372.05
1970-1979       52               944.01         1416.03         2360.04
1970-1979       53               907.01         1393.02         2300.03
1970-1979       54               956.01         1493.03         2449.04
1970-1979       55               986.01         1585.05         2571.06
1970-1979       56              1006.02         1530.06         2536.08
1970-1979       57              1089.02         1610.06         2699.08
1970-1979       58              1112.02         1741.07         2853.09
1970-1979       59              1230.01         1903.08         3133.09
1970-1979       60              1499.02         2048.09         3547.11
1970-1979       61              1517.02         2174.09         3691.11
1970-1979       62              1803.03         2421.09         4224.12
1970-1979       63              1979.03         2621.10         4600.13
1970-1979       64              2127.03         3073.12         5200.15
1970-1979       65              2381.04         3229.12         5610.16
1970-1979       66              2605.04         3287.12         5892.16
1970-1979       67              2802.04         3605.12         6407.16
1970-1979       68              3140.04         3708.13         6848.17
1970-1979       69              3347.05         3713.12         7060.17
1970-1979       70              3666.05         3862.13         7528.18
1970-1979       71              4003.05         3813.13         7816.18
1970-1979       72              4199.05         3790.11         7989.16
1970-1979       73              4469.06         3829.11         8298.17
1970-1979       74              4645.06         3642.10         8287.16
1970-1979       75              4838.07         3411.11         8249.18
1970-1979       76              5181.06         3371.11         8552.17
1970-1979       77              5234.07         3092.10         8326.17
1970-1979       78              5279.07         3000.10         8279.17
1970-1979       79              5367.07         2898.10         8265.17
1970-1979       80              5439.07         2819.10         8258.17
1970-1979       81              5354.07         2639.11         7993.18
1970-1979       82              5093.07         2417.08         7510.15
1970-1979       83              5081.07         2290.08         7371.15
1970-1979       84              4774.07         2118.09         6892.16
1970-1979       85              4566.06         1944.07         6510.13
1970-1979       86              4222.05         1763.07         5985.12
1970-1979       87              3871.05         1539.06         5410.11
1970-1979       88              3483.05         1386.05         4869.10
1970-1979       89              2972.03         1156.05         4128.08
1970-1979       90              2529.03          967.03         3496.06
1970-1979       91              2106.03          755.03         2861.06
1970-1979       92              1698.03          571.01         2269.04
1970-1979       93              1322.01          481.02         1803.03
1970-1979       94              1028.01          358.02         1386.03
1970-1979       95               753.01          262.01         1015.02
1970-1979       96               584.01          164.00          748.01
1970-1979       97               408.01          121.01          529.02
1970-1979       98               296.01           82.01          378.02
1970-1979       99               199.00           63.00          262.00
1970-1979      100               144.91           42.40          187.31
1970-1979      101                94.32           26.73          121.05
1970-1979      102                59.46           15.96           75.42
1970-1979      103                36.68            9.09           45.77
1970-1979      104                21.78            4.88           26.66
1970-1979      105                12.56            1.38           13.94
1970-1979      106                 6.71            0.58            7.29
1970-1979      107                 1.60            0.00            1.60
1970-1979      108                 0.00            0.00            0.00
1970-1979      109                 0.00            0.00            0.00
1970-1979      110+                0.00            0.00            0.00
1980-1989        0              2144.00         3090.03         5234.03
1980-1989        1               323.00          417.00          740.00
1980-1989        2               162.00          232.00          394.00
1980-1989        3               128.00          185.01          313.01
1980-1989        4               120.00          168.00          288.00
1980-1989        5                93.00          149.00          242.00
1980-1989        6                81.00          135.00          216.00
1980-1989        7                70.00          132.00          202.00
1980-1989        8                60.00          142.00          202.00
1980-1989        9                60.00          124.01          184.01
1980-1989       10                50.00          111.00          161.00
1980-1989       11                47.00          102.00          149.00
1980-1989       12                69.00          133.00          202.00
1980-1989       13                50.00          107.00          157.00
1980-1989       14                69.00          142.00          211.00
1980-1989       15                78.00          128.00          206.00
1980-1989       16                73.00          213.00          286.00
1980-1989       17                99.00          317.00          416.00
1980-1989       18                97.00          403.00          500.00
1980-1989       19               108.00          374.00          482.00
1980-1989       20                99.00          356.01          455.01
1980-1989       21               127.00          488.00          615.00
1980-1989       22               118.00          494.00          612.00
1980-1989       23               140.00          534.01          674.01
1980-1989       24               125.00          547.01          672.01
1980-1989       25               170.00          590.00          760.00
1980-1989       26               157.00          571.00          728.00
1980-1989       27               159.00          659.01          818.01
1980-1989       28               151.00          590.00          741.00
1980-1989       29               173.00          662.01          835.01
1980-1989       30               189.00          742.00          931.00
1980-1989       31               222.00          690.01          912.01
1980-1989       32               186.00          692.00          878.00
1980-1989       33               226.00          713.01          939.01
1980-1989       34               230.00          741.01          971.01
1980-1989       35               220.00          784.01         1004.01
1980-1989       36               262.00          839.01         1101.01
1980-1989       37               270.00          830.01         1100.01
1980-1989       38               295.00          977.01         1272.01
1980-1989       39               340.00          998.01         1338.01
1980-1989       40               406.00         1082.01         1488.01
1980-1989       41               437.00         1235.01         1672.01
1980-1989       42               445.00         1245.01         1690.01
1980-1989       43               480.00         1372.01         1852.01
1980-1989       44               527.00         1481.01         2008.01
1980-1989       45               591.00         1582.02         2173.02
1980-1989       46               637.00         1647.02         2284.02
1980-1989       47               689.00         1774.02         2463.02
1980-1989       48               695.00         1871.02         2566.02
1980-1989       49               761.00         1962.02         2723.02
