Korea, Deaths (period 1x10), 	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2016       31              1307.26         2163.30         3470.56
2010-2016       32              1294.24         2378.30         3672.54
2010-2016       33              1409.26         2359.30         3768.56
2010-2016       34              1511.30         2446.33         3957.63
2010-2016       35              1472.30         2812.39         4284.69
2010-2016       36              1659.33         2935.41         4594.74
2010-2016       37              1734.34         3206.42         4940.76
2010-2016       38              1881.37         3529.47         5410.84
2010-2016       39              2038.40         4188.58         6226.98
2010-2016       40              2291.43         4694.64         6986.07
2010-2016       41              2479.48         5253.72         7733.20
2010-2016       42              2638.51         5911.80         8550.31
2010-2016       43              2841.55         6422.87         9264.42
2010-2016       44              2994.58         7118.97        10113.55
2010-2016       45              3159.62         7718.03        10877.65
2010-2016       46              3377.65         8376.11        11753.76
2010-2016       47              3547.67         9137.23        12684.90
2010-2016       48              3734.72         9985.34        13720.06
2010-2016       49              4112.80        11299.57        15412.37
2010-2016       50              4422.86        12319.62        16742.48
2010-2016       51              4680.90        13222.75        17903.65
2010-2016       52              4827.92        14372.91        19200.83
2010-2016       53              5242.02        14931.97        20173.99
2010-2016       54              5412.05        15651.06        21063.11
2010-2016       55              5433.08        16120.12        21553.20
2010-2016       56              5563.09        16050.03        21613.12
2010-2016       57              5473.09        16139.11        21612.20
2010-2016       58              5693.11        16477.10        22170.21
2010-2016       59              5572.08        16321.08        21893.16
2010-2016       60              5772.13        16376.16        22148.29
2010-2016       61              6027.18        16712.17        22739.35
2010-2016       62              6200.21        16732.19        22932.40
2010-2016       63              6629.29        17408.27        24037.56
2010-2016       64              6692.28        17377.19        24069.47
2010-2016       65              7108.39        17550.39        24658.78
2010-2016       66              7590.49        18482.39        26072.88
2010-2016       67              8813.73        19988.76        28802.49
2010-2016       68              9816.93        21793.90        31610.83
2010-2016       69             10809.09        22941.99        33751.08
2010-2016       70             12139.34        24822.34        36961.68
2010-2016       71             14011.72        26723.54        40735.26
2010-2016       72             15606.01        28961.81        44567.82
2010-2016       73             17444.39        30716.01        48160.40
2010-2016       74             19426.79        31507.08        50933.87
2010-2016       75             21061.11        32107.19        53168.30
2010-2016       76             22651.43        32347.15        54998.58
2010-2016       77             24896.85        32508.15        57405.00
2010-2016       78             26729.22        32021.07        58750.29
2010-2016       79             28234.51        30981.91        59216.42
2010-2016       80             30284.91        29777.80        60062.71
2010-2016       81             31251.11        28109.55        59360.66
2010-2016       82             32602.35        26368.33        58970.68
2010-2016       83             33252.49        24218.07        57470.56
2010-2016       84             33398.52        22120.75        55519.27
2010-2016       85             33070.47        20624.65        53695.12
2010-2016       86             32110.29        18393.35        50503.64
2010-2016       87             31589.22        17025.21        48614.43
2010-2016       88             30151.88        14672.86        44824.74
2010-2016       89             27587.37        12726.61        40313.98
2010-2016       90             25049.92        10693.34        35743.26
2010-2016       91             21896.26         8926.13        30822.39
2010-2016       92             19311.74         7073.90        26385.64
2010-2016       93             16443.25         5658.68        22101.93
2010-2016       94             13011.55         4073.50        17085.05
2010-2016       95             10073.97         2908.38        12982.35
2010-2016       96              7797.53         2092.26         9889.79
2010-2016       97              5932.16         1451.18         7383.34
2010-2016       98              4433.87          987.11         5420.98
2010-2016       99              3163.61          654.09         3817.70
2010-2016      100              2326.35          493.32         2819.67
2010-2016      101              1520.76          313.82         1834.58
2010-2016      102               970.63          193.95         1164.58
2010-2016      103               594.82          115.75          710.57
2010-2016      104               349.28           66.92          416.20
2010-2016      105               197.92           37.38          235.30
2010-2016      106               109.19           20.46          129.65
2010-2016      107                58.98           11.08           70.06
2010-2016      108                30.87            5.85           36.72
2010-2016      109                15.72            1.60           17.32
2010-2016      110+               10.71            0.00           10.71
