Ireland, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959       53              1216.00         1615.00         2831.00
1950-1959       54              1367.00         1936.00         3303.00
1950-1959       55              1313.00         1944.00         3257.00
1950-1959       56              1679.00         2244.00         3923.00
1950-1959       57              1339.00         2071.00         3410.00
1950-1959       58              1791.00         2456.00         4247.00
1950-1959       59              1427.00         2251.00         3678.00
1950-1959       60              2709.00         3526.00         6235.00
1950-1959       61              1577.00         2202.00         3779.00
1950-1959       62              2244.00         2999.00         5243.00
1950-1959       63              2249.00         2918.00         5167.00
1950-1959       64              2599.00         3288.00         5887.00
1950-1959       65              3197.00         4339.00         7536.00
1950-1959       66              2387.00         3243.00         5630.00
1950-1959       67              2625.00         3664.00         6289.00
1950-1959       68              3558.00         4664.00         8222.00
1950-1959       69              3294.00         4560.00         7854.00
1950-1959       70              4933.00         5608.00        10541.00
1950-1959       71              3817.00         4482.00         8299.00
1950-1959       72              5124.00         5868.00        10992.00
1950-1959       73              5189.00         6058.00        11247.00
1950-1959       74              5716.00         6562.00        12278.00
1950-1959       75              6064.00         6900.00        12964.00
1950-1959       76              5963.00         6669.00        12632.00
1950-1959       77              5287.00         6048.00        11335.00
1950-1959       78              5989.00         6674.00        12663.00
1950-1959       79              4825.00         5454.00        10279.00
1950-1959       80              6720.00         6916.00        13636.00
1950-1959       81              4209.00         4568.00         8777.00
1950-1959       82              5118.00         5210.00        10328.00
1950-1959       83              4450.00         4499.00         8949.00
1950-1959       84              4678.00         4811.00         9489.00
1950-1959       85              3779.00         3655.00         7434.00
1950-1959       86              3564.00         3232.00         6796.00
1950-1959       87              2745.00         2439.00         5184.00
1950-1959       88              2134.00         1857.00         3991.00
1950-1959       89              1633.00         1451.00         3084.00
1950-1959       90              1701.00         1265.00         2966.00
1950-1959       91               935.00          701.00         1636.00
1950-1959       92               916.00          583.00         1499.00
1950-1959       93               712.00          438.00         1150.00
1950-1959       94               550.00          339.00          889.00
1950-1959       95               418.00          245.00          663.00
1950-1959       96               303.00          186.00          489.00
1950-1959       97               226.00          111.00          337.00
1950-1959       98               155.00          103.00          258.00
1950-1959       99               122.00           52.00          174.00
1950-1959      100                57.62           31.87           89.49
1950-1959      101                30.96           17.64           48.60
1950-1959      102                22.48           10.21           32.69
1950-1959      103                11.56            5.75           17.31
1950-1959      104                 5.85            1.21            7.06
1950-1959      105                 1.49            1.32            2.81
1950-1959      106                 0.00            0.00            0.00
1950-1959      107                 0.00            0.00            0.00
1950-1959      108                 0.00            0.00            0.00
1950-1959      109                 0.00            0.00            0.00
1950-1959      110+                0.00            0.00            0.00
1960-1969        0              6900.00         9125.00        16025.00
1960-1969        1               458.00          543.00         1001.00
1960-1969        2               298.00          334.00          632.00
1960-1969        3               213.00          243.00          456.00
