Czechia, Deaths (period 1x10), 	Last modified: 23 Feb 2018, MPv6 (Nov17)

  Year          Age             Female            Male           Total
1950-1959        0             25898.54        34911.51        60810.05
1950-1959        1              2453.04         2822.19         5275.23
1950-1959        2              1303.00         1498.08         2801.08
1950-1959        3               847.00         1110.04         1957.04
1950-1959        4               637.00          839.04         1476.04
1950-1959        5               483.00          670.02         1153.02
1950-1959        6               411.00          657.03         1068.03
1950-1959        7               388.00          594.04          982.04
1950-1959        8               292.00          543.02          835.02
1950-1959        9               268.00          494.00          762.00
1950-1959       10               268.00          490.00          758.00
1950-1959       11               270.00          465.00          735.00
1950-1959       12               288.00          422.00          710.00
1950-1959       13               283.00          438.00          721.00
1950-1959       14               287.00          491.03          778.03
1950-1959       15               305.00          542.01          847.01
1950-1959       16               334.00          648.04          982.04
1950-1959       17               393.00          808.04         1201.04
1950-1959       18               437.00         1034.04         1471.04
1950-1959       19               462.00         1079.04         1541.04
1950-1959       20               471.00         1061.04         1532.04
1950-1959       21               544.00         1146.04         1690.04
1950-1959       22               560.00         1190.04         1750.04
1950-1959       23               644.00         1247.04         1891.04
1950-1959       24               590.00         1241.04         1831.04
1950-1959       25               709.00         1279.04         1988.04
1950-1959       26               738.00         1283.05         2021.05
1950-1959       27               766.00         1259.05         2025.05
1950-1959       28               746.00         1307.06         2053.06
1950-1959       29               802.00         1326.04         2128.04
1950-1959       30               896.00         1355.05         2251.05
1950-1959       31               902.00         1292.05         2194.05
1950-1959       32               844.00         1292.04         2136.04
1950-1959       33               862.00         1291.05         2153.05
1950-1959       34               871.00         1307.05         2178.05
1950-1959       35               953.00         1396.08         2349.08
1950-1959       36              1015.00         1336.07         2351.07
1950-1959       37              1035.00         1486.08         2521.08
1950-1959       38              1173.00         1457.08         2630.08
1950-1959       39              1300.01         1646.08         2946.09
1950-1959       40              1394.02         1866.10         3260.12
1950-1959       41              1542.02         2117.12         3659.14
1950-1959       42              1782.02         2423.16         4205.18
1950-1959       43              2044.03         2760.15         4804.18
1950-1959       44              2174.04         3147.16         5321.20
1950-1959       45              2490.05         3518.16         6008.21
1950-1959       46              2590.05         3765.17         6355.22
1950-1959       47              2793.06         4216.18         7009.24
1950-1959       48              3027.06         4608.23         7635.29
1950-1959       49              3403.06         5223.28         8626.34
1950-1959       50              3559.06         5801.32         9360.38
1950-1959       51              3873.06         6109.31         9982.37
1950-1959       52              4008.06         6784.34        10792.40
1950-1959       53              4443.08         7167.34        11610.42
1950-1959       54              4690.10         7777.37        12467.47
1950-1959       55              4997.10         8147.40        13144.50
1950-1959       56              5383.12         8637.41        14020.53
1950-1959       57              5536.12         8961.39        14497.51
1950-1959       58              5748.12         9421.42        15169.54
1950-1959       59              6306.12         9541.43        15847.55
1950-1959       60              6588.13        10137.45        16725.58
1950-1959       61              7150.15        10202.47        17352.62
1950-1959       62              7579.15        10446.46        18025.61
1950-1959       63              7903.16        10687.49        18590.65
1950-1959       64              8561.17        11105.51        19666.68
1950-1959       65              9249.18        11582.53        20831.71
1950-1959       66              9719.18        11794.54        21513.72
1950-1959       67             10575.20        12221.54        22796.74
1950-1959       68             11207.21        12692.59        23899.80
1950-1959       69             11885.22        12887.58        24772.80
1950-1959       70             12726.25        13123.59        25849.84
1950-1959       71             13320.25        13422.63        26742.88
1950-1959       72             14065.27        13549.63        27614.90
1950-1959       73             14360.26        13615.63        27975.89
1950-1959       74             14832.29        13642.61        28474.90
1950-1959       75             15113.30        13364.63        28477.93
1950-1959       76             15350.30        13293.61        28643.91
1950-1959       77             15341.30        12760.59        28101.89
1950-1959       78             15239.30        12553.56        27792.86
1950-1959       79             14890.28        12074.55        26964.83
1950-1959       80             14400.30        11453.51        25853.81
1950-1959       81             13439.26        10506.47        23945.73
1950-1959       82             12493.23         9725.46        22218.69
1950-1959       83             11566.20         8884.43        20450.63
1950-1959       84             10266.19         7843.35        18109.54
1950-1959       85              8924.18         6592.30        15516.48
1950-1959       86              7760.17         5556.25        13316.42
1950-1959       87              6470.13         4449.17        10919.30
1950-1959       88              5329.12         3575.14         8904.26
1950-1959       89              4332.07         2803.12         7135.19
1950-1959       90              3289.06         1977.09         5266.15
1950-1959       91              2524.04         1550.04         4074.08
1950-1959       92              1856.02         1049.04         2905.06
1950-1959       93              1376.01          715.01         2091.02
1950-1959       94               887.00          492.00         1379.00
1950-1959       95               582.00          311.00          893.00
1950-1959       96               409.00          194.00          603.00
1950-1959       97               226.00          102.00          328.00
1950-1959       98               138.00           65.00          203.00
1950-1959       99                73.00           36.00          109.00
1950-1959      100                51.00           19.00           70.00
1950-1959      101                25.36            6.45           31.81
1950-1959      102                14.62            5.54           20.16
1950-1959      103                 7.15            0.00            7.15
1950-1959      104                 1.87            0.00            1.87
1950-1959      105                 0.00            0.00            0.00
1950-1959      106                 0.00            0.00            0.00
1950-1959      107                 0.00            0.00            0.00
1950-1959      108                 0.00            0.00            0.00
1950-1959      109                 0.00            0.00            0.00
1950-1959      110+                0.00            0.00            0.00
1960-1969        0             12215.00        17237.00        29452.00
1960-1969        1               880.00         1222.00         2102.00
1960-1969        2               495.00          751.00         1246.00
1960-1969        3               387.00          599.00          986.00
