Croatia, Deaths (period 1x10), 	Last modified: 20 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2016       37               135.00          294.00          429.00
2010-2016       38               126.00          270.00          396.00
2010-2016       39               139.00          308.00          447.00
2010-2016       40               151.00          308.01          459.01
2010-2016       41               188.00          371.03          559.03
2010-2016       42               187.00          425.03          612.03
2010-2016       43               206.00          479.04          685.04
2010-2016       44               245.00          507.04          752.04
2010-2016       45               280.00          620.04          900.04
2010-2016       46               346.00          709.04         1055.04
2010-2016       47               355.00          834.07         1189.07
2010-2016       48               424.00          931.06         1355.06
2010-2016       49               469.00         1042.07         1511.07
2010-2016       50               529.01         1154.08         1683.09
2010-2016       51               606.05         1399.10         2005.15
2010-2016       52               673.05         1450.10         2123.15
2010-2016       53               703.06         1648.10         2351.16
2010-2016       54               753.06         1888.12         2641.18
2010-2016       55               890.06         2041.14         2931.20
2010-2016       56               946.06         2317.16         3263.22
2010-2016       57              1008.06         2482.16         3490.22
2010-2016       58              1149.06         2701.16         3850.22
2010-2016       59              1260.06         2992.20         4252.26
2010-2016       60              1326.06         3159.21         4485.27
2010-2016       61              1376.06         3258.20         4634.26
2010-2016       62              1495.06         3468.22         4963.28
2010-2016       63              1521.07         3515.21         5036.28
2010-2016       64              1592.06         3509.20         5101.26
2010-2016       65              1646.07         3600.20         5246.27
2010-2016       66              1841.09         3481.19         5322.28
2010-2016       67              1930.12         3606.21         5536.33
2010-2016       68              2096.11         3705.23         5801.34
2010-2016       69              2283.13         3910.25         6193.38
2010-2016       70              2576.17         4007.28         6583.45
2010-2016       71              2879.19         4517.30         7396.49
2010-2016       72              3273.20         4838.32         8111.52
2010-2016       73              3786.23         5120.33         8906.56
2010-2016       74              4364.26         5527.36         9891.62
2010-2016       75              4848.27         5855.41        10703.68
2010-2016       76              5487.31         6110.40        11597.71
2010-2016       77              6089.36         6309.40        12398.76
2010-2016       78              6781.40         6510.41        13291.81
2010-2016       79              7401.43         6705.41        14106.84
2010-2016       80              7948.45         6700.43        14648.88
2010-2016       81              8494.46         6298.38        14792.84
2010-2016       82              8759.47         6132.37        14891.84
2010-2016       83              9150.49         5884.33        15034.82
2010-2016       84              8684.47         5297.30        13981.77
2010-2016       85              8841.46         4685.25        13526.71
2010-2016       86              8397.44         4163.23        12560.67
2010-2016       87              7666.41         3569.21        11235.62
2010-2016       88              7415.41         3081.16        10496.57
2010-2016       89              6682.34         2620.14         9302.48
2010-2016       90              5849.31         2061.12         7910.43
2010-2016       91              4693.23         1657.09         6350.32
2010-2016       92              3505.13         1209.06         4714.19
2010-2016       93              2633.09          864.03         3497.12
2010-2016       94              1853.08          603.01         2456.09
2010-2016       95              1369.06          415.00         1784.06
2010-2016       96               972.06          298.00         1270.06
2010-2016       97               689.05          193.00          882.05
2010-2016       98               549.05          164.00          713.05
2010-2016       99               346.00          113.00          459.00
2010-2016      100               274.00           72.00          346.00
2010-2016      101               196.00           36.00          232.00
2010-2016      102                99.00           31.00          130.00
2010-2016      103                60.00           18.00           78.00
2010-2016      104                21.00           10.00           31.00
2010-2016      105                18.00            4.00           22.00
2010-2016      106                10.00            3.00           13.00
2010-2016      107                 3.00            0.00            3.00
2010-2016      108                 1.00            0.00            1.00
2010-2016      109                 0.00            0.00            0.00
2010-2016      110+                0.00            0.00            0.00
