Spain, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1910-1919       27             14484.63        12853.28        27337.91
1910-1919       28             17056.57        14092.34        31148.91
1910-1919       29             11772.40        10858.95        22631.35
1910-1919       30             19945.23        15205.83        35151.06
1910-1919       31              9348.68         8960.76        18309.44
1910-1919       32             15426.79        13067.97        28494.76
1910-1919       33             13560.41        12894.40        26454.81
1910-1919       34             13974.34        12401.72        26376.06
1910-1919       35             14862.41        13255.51        28117.92
1910-1919       36             14682.85        12803.08        27485.93
1910-1919       37             10945.30        10882.92        21828.22
1910-1919       38             14732.17        13834.45        28566.62
1910-1919       39              9588.21        10370.34        19958.55
1910-1919       40             22016.90        19456.43        41473.33
1910-1919       41              7792.07         8914.63        16706.70
1910-1919       42             14084.77        15338.29        29423.06
1910-1919       43              9762.71        11320.36        21083.07
1910-1919       44             12123.15        13900.64        26023.79
1910-1919       45             14697.19        17536.29        32233.48
1910-1919       46             11786.29        14373.13        26159.42
1910-1919       47              9407.78        12627.61        22035.39
1910-1919       48             13842.08        17050.74        30892.82
1910-1919       49              8939.64        12525.19        21464.83
1910-1919       50             24770.32        25197.94        49968.26
1910-1919       51              8286.20        11739.66        20025.86
1910-1919       52             15348.57        19317.12        34665.69
1910-1919       53             11407.45        15361.35        26768.80
1910-1919       54             15543.99        18794.41        34338.40
1910-1919       55             17288.10        20489.89        37777.99
1910-1919       56             18133.00        20935.37        39068.37
1910-1919       57             13357.10        17107.01        30464.11
1910-1919       58             19596.66        23302.92        42899.58
1910-1919       59             12920.06        17562.45        30482.51
1910-1919       60             45442.04        39730.32        85172.36
1910-1919       61             13265.77        16777.86        30043.63
1910-1919       62             24839.60        27731.01        52570.61
1910-1919       63             20889.50        24675.13        45564.63
1910-1919       64             27434.54        29051.15        56485.69
1910-1919       65             32251.88        32536.31        64788.19
1910-1919       66             28089.10        29822.69        57911.79
1910-1919       67             23306.07        26066.70        49372.77
1910-1919       68             30561.06        30852.12        61413.18
1910-1919       69             17752.39        20480.78        38233.17
1910-1919       70             65783.56        52151.27       117934.83
1910-1919       71             17179.86        19076.28        36256.14
1910-1919       72             33094.98        33236.01        66330.99
1910-1919       73             24976.03        27045.98        52022.01
1910-1919       74             30375.68        30565.23        60940.91
1910-1919       75             36216.50        33830.91        70047.41
1910-1919       76             29247.18        27829.65        57076.83
1910-1919       77             22728.88        24041.49        46770.37
1910-1919       78             30499.19        28972.13        59471.32
1910-1919       79             15476.14        15827.97        31304.11
1910-1919       80             51542.82        35179.92        86722.74
1910-1919       81             12562.20        11468.69        24030.89
1910-1919       82             21650.32        17442.99        39093.31
1910-1919       83             14211.91        12463.95        26675.86
1910-1919       84             20495.55        15993.24        36488.79
1910-1919       85             17847.58        12753.95        30601.53
1910-1919       86             14245.11        10205.74        24450.85
1910-1919       87              9902.97         7368.69        17271.66
1910-1919       88             10625.72         7267.27        17892.99
1910-1919       89              5928.80         4269.70        10198.50
1910-1919       90             12057.04         6097.62        18154.66
1910-1919       91              2848.57         1679.39         4527.96
1910-1919       92              3964.22         2187.02         6151.24
1910-1919       93              2682.23         1507.84         4190.07
1910-1919       94              2663.19         1340.30         4003.49
1910-1919       95              2645.18         1142.66         3787.84
1910-1919       96              2116.93          950.05         3066.98
1910-1919       97              1313.07          568.81         1881.88
1910-1919       98              1320.08          523.69         1843.77
1910-1919       99               688.60          266.88          955.48
1910-1919      100               481.15          142.45          623.60
1910-1919      101               303.07          101.12          404.19
1910-1919      102               200.77           62.42          263.19
1910-1919      103               131.19           38.68          169.87
1910-1919      104                84.48           23.40          107.88
1910-1919      105                53.01           13.37           66.38
1910-1919      106                32.72            7.10           39.82
1910-1919      107                20.15            2.45           22.60
1910-1919      108                11.42            0.29           11.71
1910-1919      109                 5.54            0.00            5.54
1910-1919      110+                2.54            0.00            2.54
1920-1929        0            406204.07       493930.70       900134.77
1920-1929        1            159348.52       169879.03       329227.55
1920-1929        2             77362.99        81711.23       159074.22
1920-1929        3             41142.15        42676.30        83818.45
1920-1929        4             27368.72        27695.39        55064.11
1920-1929        5             18050.19        19085.46        37135.65
1920-1929        6             15182.66        15648.78        30831.44
1920-1929        7             10289.13        10692.18        20981.31
1920-1929        8              8308.33         8721.17        17029.50
1920-1929        9              7131.00         7595.40        14726.40
1920-1929       10              6857.54         7065.02        13922.56
1920-1929       11              6590.92         6532.60        13123.52
1920-1929       12              6993.68         6648.91        13642.59
1920-1929       13              7142.91         6462.39        13605.30
1920-1929       14              8617.81         7456.84        16074.65
1920-1929       15              9112.67         7369.63        16482.30
1920-1929       16             10028.37         8628.75        18657.12
1920-1929       17             11386.87        10762.06        22148.93
1920-1929       18             12954.90        12973.55        25928.45
