Slovenia, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999       40               216.00          518.00          734.00
1990-1999       41               250.00          602.00          852.00
1990-1999       42               243.00          623.00          866.00
1990-1999       43               253.00          676.00          929.00
1990-1999       44               295.00          718.00         1013.00
1990-1999       45               315.00          720.00         1035.00
1990-1999       46               299.00          796.00         1095.00
1990-1999       47               372.00          835.00         1207.00
1990-1999       48               371.00          838.00         1209.00
1990-1999       49               390.00          917.00         1307.00
1990-1999       50               416.00          989.00         1405.00
1990-1999       51               443.00         1041.00         1484.00
1990-1999       52               491.00         1051.00         1542.00
1990-1999       53               505.00         1199.00         1704.00
1990-1999       54               553.00         1265.00         1818.00
1990-1999       55               582.00         1425.00         2007.00
1990-1999       56               616.00         1522.00         2138.00
1990-1999       57               678.00         1650.00         2328.00
1990-1999       58               738.00         1751.00         2489.00
1990-1999       59               801.00         1874.00         2675.00
1990-1999       60               884.00         2114.00         2998.00
1990-1999       61              1003.00         2193.00         3196.00
1990-1999       62              1104.00         2313.00         3417.00
1990-1999       63              1153.00         2349.00         3502.00
1990-1999       64              1280.00         2492.00         3772.00
1990-1999       65              1361.00         2604.00         3965.00
1990-1999       66              1505.00         2489.00         3994.00
1990-1999       67              1689.00         2561.00         4250.00
1990-1999       68              1801.00         2499.00         4300.00
1990-1999       69              1901.00         2620.00         4521.00
1990-1999       70              2124.00         2474.00         4598.00
1990-1999       71              2111.00         2373.00         4484.00
1990-1999       72              2176.00         2290.00         4466.00
1990-1999       73              2260.00         2120.00         4380.00
1990-1999       74              2188.00         2112.00         4300.00
1990-1999       75              2286.00         2086.00         4372.00
1990-1999       76              2467.00         2119.00         4586.00
1990-1999       77              2681.00         2170.00         4851.00
1990-1999       78              2833.00         2264.00         5097.00
1990-1999       79              2985.00         2289.00         5274.00
1990-1999       80              3071.00         2257.00         5328.00
1990-1999       81              3395.00         2399.00         5794.00
1990-1999       82              3607.00         2354.00         5961.00
1990-1999       83              3966.00         2343.00         6309.00
1990-1999       84              4106.00         2312.00         6418.00
1990-1999       85              3896.00         2011.00         5907.00
1990-1999       86              3687.00         1735.00         5422.00
1990-1999       87              3316.00         1521.00         4837.00
1990-1999       88              3079.00         1335.00         4414.00
1990-1999       89              2547.00         1051.00         3598.00
1990-1999       90              2248.00          867.00         3115.00
1990-1999       91              1825.00          643.00         2468.00
1990-1999       92              1479.00          485.00         1964.00
1990-1999       93              1086.00          358.00         1444.00
1990-1999       94               926.00          277.00         1203.00
1990-1999       95               655.00          165.00          820.00
1990-1999       96               458.00          112.00          570.00
1990-1999       97               275.00           85.00          360.00
1990-1999       98               143.00           45.00          188.00
1990-1999       99               111.00           34.00          145.00
1990-1999      100                69.00            9.00           78.00
1990-1999      101                39.00            2.00           41.00
1990-1999      102                20.00            2.00           22.00
1990-1999      103                 7.00            3.00           10.00
1990-1999      104                 5.00            0.00            5.00
1990-1999      105                 0.00            0.00            0.00
1990-1999      106                 1.00            0.00            1.00
1990-1999      107                 1.00            0.00            1.00
1990-1999      108                 0.00            0.00            0.00
1990-1999      109                 0.00            0.00            0.00
1990-1999      110+                0.00            0.00            0.00
2000-2009        0               299.00          364.00          663.00
2000-2009        1                14.00           26.00           40.00
2000-2009        2                14.00           25.00           39.00
2000-2009        3                13.00           21.00           34.00
2000-2009        4                13.00           17.00           30.00
2000-2009        5                 8.00            9.00           17.00
2000-2009        6                18.00           12.00           30.00
2000-2009        7                11.00           16.00           27.00
2000-2009        8                14.00           11.00           25.00
